Player,Pos,Squad,90s,Assists,Expected Goals Assists,Expected Assists,Assists Overperformance,Key Passes,Passes into final third,Passes into penalty box,Crosses into penalty box,Progressive passes,Shot-created Actions,Goal-created Actions,Touches in Mid 3rd,Touches in Attacking 3rd,Touches in penalty box,Attempted Take-ons,Take-ons Success %,Carries,Progressive Distance,Progressive Carries,Progressive Passes Received
Ella Abdul Massih,"FW,MF",W Sydney,1.2,0,0.33,0.25,-0.33,2.5,6.67,0,0,3.33,2.5,0,40,28.3,5,1.67,0,32.5,51.7,0.83,2.5
Isabella Accardo,"DF,FW",Melb City,0.1,0,0,0,0,0,0,0,0,10,0,0,20,10,0,10,0,10,0,0,0
Josie Allan,"DF,FW",Newcastle,0.1,0,0,0,0,0,0,0,0,0,0,0,10,80,30,0,,60,160,10,30
Lauren Allan,"FW,DF",Newcastle,19.1,0.26,0.23,0.16,0.04,1.83,1.57,1.41,0.63,2.72,3.46,0.42,13.4,22.9,3.4,2.41,45.7,21.3,72,2.77,9.11
Liz Anton,DF,Perth,18.9,0.16,0.11,0.03,0.05,0.58,2.33,0.53,0.16,2.17,1.01,0.16,21.2,5.56,0.48,1.11,52.4,32.8,90.1,1.43,1.48
Alexia Apostolakis,"MF,DF",W Sydney,15.8,0.06,0.18,0.14,-0.11,2.15,3.42,0.44,0.13,3.61,3.48,0.13,24.1,17.7,0.63,2.15,41.2,22.8,52.6,1.08,2.66
Morgan Aquino,GK,Perth,21.2,0,0,0,0,0,0.19,0,0,0,0.05,0,0.19,0.05,0,0.05,100,22.2,73,0.05,0
Melina Ayres,"FW,MF",Newcastle,5.3,0,0.04,0.08,-0.04,1.13,1.51,0.75,0.19,1.7,3.4,0.57,15.1,17.7,5.66,0.94,20,14.7,19.8,0.75,5.47
Rola Badawiya,"FW,MF",Central Coast Mariners,18.1,0.11,0.09,0.12,0.02,1.05,1.05,0.39,0.11,2.15,2.93,0.28,17.1,22.8,5.25,3.59,43.1,27.3,65.5,2.76,8.51
Bárbara,GK,Melb City,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,21.8,66.2,0,0
MelindaJ Barbieri,"FW,MF",Newcastle,15.5,0.06,0.2,0.22,-0.14,2.06,2.32,0.77,0.39,2.84,3.94,0.19,18.3,22.8,1.74,1.94,40,20.3,36,0.9,5.42
Melissa Barbieri,GK,Melb City,3,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,,20.3,58.3,0,0
Mackenzie Barry,DF,Wellington Phoenix FC,19.2,0,0,0.01,0,0.1,1.2,0,0,1.51,0.57,0,20.7,0.73,0.21,0.42,87.5,27.9,74.6,0.47,0.1
Lorena Baumann,DF,Newcastle,19.9,0.2,0.18,0.14,0.03,1.11,6.13,1.01,0.3,5.93,2.66,0.3,31.1,14.3,0.7,0.85,58.8,30,91.4,1.81,3.02
Hillary Beall,GK,Western United,13,0,0,0.03,0,0,0.31,0,0,0,0.15,0.08,0.08,0.08,0,0,,18.8,54.5,0,0
Tegan Bertolissio,DF,Canberra Utd,8.8,0.23,0.06,0.03,0.17,0.91,3.18,0.45,0.34,3.64,1.48,0.34,22.8,8.41,0.11,0.34,33.3,21.5,40.5,0.45,0.91
