Team;xG for;xG against;Penalties;Penalties conceded;Goals;Goals conceded
Newcastle Jets;1.81;1.21;0;0;4;0
Wellington Phoenix;1.21;1.81;0;0;0;4
Adelaide United;1.45;1.71;0;0;1;2
Western Sydney Wanderers;1.71;1.45;0;0;2;1
Perth Glory;2.62;0.24;1;0;0;0
Central Coast Mariners;0.24;2.62;0;0;0;0
Adelaide United;1.39;2.28;0;0;2;1
Newcastle Jets;2.28;1.39;0;0;1;2
Macarthur;1.16;0.91;1;0;3;1
Western Sydney Wanderers;0.91;1.16;0;1;1;3
Perth Glory;2.44;2.27;0;0;0;2
Sydney;2.27;2.44;0;0;2;0
Western United;0.75;2.79;0;0;2;2
Melbourne City;2.79;0.75;0;0;2;2
Brisbane Roar;1.41;1.95;0;0;2;1
Wellington Phoenix;1.95;1.41;0;0;1;2
Wellington Phoenix;1.51;2.41;1;0;3;2
Newcastle Jets;2.41;1.51;0;1;2;3
Melbourne City;2.11;1.88;1;0;3;1
Macarthur;1.88;2.11;0;1;1;3
Central Coast Mariners;0.74;1.98;0;0;1;1
Melbourne Victory;1.98;0.74;0;0;1;1
Perth Glory;1.63;1.39;1;0;1;2
Adelaide United;1.39;1.63;0;1;2;1
Western Sydney Wanderers;2.72;1.13;1;0;2;0
Sydney;1.13;2.72;0;1;0;2
Central Coast Mariners;1.06;1.58;0;0;2;1
Brisbane Roar;1.58;1.06;0;0;1;2
Western United;1.7;2.08;0;0;2;1
Newcastle Jets;2.08;1.7;0;0;1;2
Melbourne Victory;1.66;0.64;0;0;3;1
Macarthur;0.64;1.66;0;0;1;3
Melbourne City;0.69;1.24;0;0;2;2
Perth Glory;1.24;0.69;0;0;2;2
Perth Glory;0.55;1.27;0;0;0;2
Western United;1.27;0.55;0;0;2;0
Sydney;1.14;1.21;0;0;1;2
Melbourne City;1.21;1.14;0;0;2;1
Adelaide United;3.41;1.71;0;0;2;1
Central Coast Mariners;1.71;3.41;0;0;1;2
Newcastle Jets;2.36;0.69;1;0;2;2
Macarthur;0.69;2.36;0;1;2;2
Perth Glory;0.96;1.29;0;0;0;1
Macarthur;1.29;0.96;0;0;1;0
Newcastle Jets;1.09;2.58;0;0;1;0
Western Sydney Wanderers;2.58;1.09;0;0;0;1
Western United;0.87;1.22;0;0;1;0
Sydney;1.22;0.87;0;0;0;1
Melbourne City;1.98;0.73;1;0;3;2
Central Coast Mariners;0.73;1.98;0;1;2;3
Western United;1.51;1.99;0;1;3;2
