Team;xG for;xG against;Penalties;Penalties conceded;Goals;Goals conceded
Ho Chi Minh City;0.94;1.25;0;0;3;0
Hai Phong;1.25;0.94;0;0;0;3
Topenland Binh Dinh;0.51;0.1;0;0;1;1
Than Quang Ninh;0.1;0.51;0;0;1;1
Thanh Hoa;0.89;0.51;0;0;1;0
Song Lam Nghe An;0.51;0.89;0;0;0;1
Hong Linh Ha Tinh;1.36;1.1;0;0;3;2
Nam Dinh;1.1;1.36;0;0;2;3
Hoang Anh Gia Lai;1.57;1.13;0;0;2;2
Becamex Binh Duong;1.13;1.57;0;0;2;2
Da Nang;0.36;0.63;0;0;1;2
Viettel;0.63;0.36;0;0;2;1
Ha Noi;1.25;0.8;0;0;3;1
Sai Gon;0.8;1.25;0;0;1;3
Thanh Hoa;1.17;0.99;1;1;1;2
Hoang Anh Gia Lai;0.99;1.17;1;1;2;1
Hai Phong;1.71;1.28;0;0;2;0
Song Lam Nghe An;1.28;1.71;0;0;0;2
Da Nang;1.36;0.75;0;0;1;2
Sai Gon;0.75;1.36;0;0;2;1
Ha Noi;1.67;0.58;0;0;0;1
Topenland Binh Dinh;0.58;1.67;0;0;1;0
Hong Linh Ha Tinh;2.27;1.72;0;0;4;2
Becamex Binh Duong;1.72;2.27;0;0;2;4
Ho Chi Minh City;1.21;1.03;0;0;1;1
Viettel;1.03;1.21;0;0;1;1
Than Quang Ninh;0.9;1.38;0;0;0;1
Nam Dinh;1.38;0.9;0;0;1;0
Nam Dinh;1.53;0.9;0;0;3;2
Ho Chi Minh City;0.9;1.53;0;0;2;3
Becamex Binh Duong;0.84;1.08;0;0;1;0
Da Nang;1.08;0.84;0;0;0;1
Hoang Anh Gia Lai;0.74;0.76;0;0;1;0
Ha Noi;0.76;0.74;0;0;0;1
Song Lam Nghe An;0.99;1.47;0;0;0;2
Hong Linh Ha Tinh;1.47;0.99;0;0;2;0
Topenland Binh Dinh;0.61;1;0;0;0;1
Thanh Hoa;1;0.61;0;0;1;0
Sai Gon;0.3;0.88;0;0;0;0
Hai Phong;0.88;0.3;0;0;0;0
Viettel;1.61;0.97;0;0;2;1
