Number;Player;Team;Age;InStat Index;Minutes played;Position;Goals;Penalty;"Penalties
 scored";Non-penalty Goals;xG (Expected goals);Shots;Shots on target, %;Assists;Expected assists;Сhances created;Key passes;Key passes accurate;Passes;Accurate passes;Crosses accurate;Dribbles successful;Attacking challenges won;Defensive challenges won;Air challenges won;Ball recoveries in opponent's half;Tackles successful;Ball interceptions
15;Andrew Nabbout;Melbourne City;29;268;405;RM;0.44;0;0;0.44;0.25;4.2;53%;0.44;0.44;2;2.7;1.33;42;28;1.11;1.56;3.8;2.4;2.2;1.78;1.33;3.6
11;Daniel Penha;Newcastle;0;265;445;CM;0.2;0;0;0.2;0.23;3.8;26%;0.61;0.4;2.2;2.4;1.82;59;45;0.2;3.4;5.5;2.6;0.81;0.61;1.62;3.2
2;James Kevin Donachie;Sydney;28;264;191;CD;0;0;0;0;0.08;0.47;0;0;0;0;0;0;64;60;0;0;1.88;4.7;1.41;0;0.94;4.7
4;Nuno Reis;Melbourne City;30;262;460;CD;0;0;0;0;0.08;0.39;0;0.2;0;0.39;0.78;0.2;79;70;0.2;0.2;0.98;6;1.57;0.98;2.3;7
22;Michael Jakobsen;Adelaide;36;261;596;CD;0;0;0;0;0.03;0.45;67%;0;0;0;0;0;61;53;0;0.3;1.06;4.8;1.81;1.36;1.81;9
22;Curtis Edward Good;Melbourne City;28;261;490;CD;0.18;0;0;0.18;0.22;0.73;50%;0;0;0.55;0.55;0.37;70;64;0;0.18;2;6;4.2;0.55;2.4;8
3;Scott Jamieson;Melbourne City;33;259;490;LD;0;0;0;0;0.05;0.55;33%;0.18;0.18;0.55;0.55;0.18;68;57;0.73;1.29;3.5;7;2.9;2.2;3.5;4.8
17;V. Yuel;Newcastle;27;258;331;LM;0.82;0;0;0.82;0.48;2.4;44%;0.54;0.82;1.63;2.4;1.09;33;26;0.82;2.2;4.9;3;0.82;0.27;2.4;2.2
6;Tomoki Imai;Western United;31;257;529;CD;0;0;0;0;0;0;0;0;0;0;0;0;57;49;0;0.51;1.19;8;3.7;0.68;1.36;7
7;D. De Silva;Macarthur FC;24;256;557;LM;0.16;0;0;0.16;0.08;0.81;20%;0.48;0.48;1.13;1.45;1.29;38;32;0.32;2.9;5.2;1.62;0.48;1.13;1.13;4.7
15;Aleksandar Susnjar;Macarthur FC;26;255;368;CD;0;0;0;0;0;0.24;0;0;0;0;0;0;53;47;0.24;1.22;3.7;6;2.7;1.71;2.4;5.9
22;Jake William Brimmer;Victory;23;255;549;DM;0;0;0;0;0.1;1.64;40%;0.49;0.16;1.48;1.64;0.98;45;36;0;1.97;4.3;2.1;0.66;0.82;1.8;1.97
10;U. Dávila;Macarthur FC;30;254;294;RM;0;0;0;0;0.29;1.84;17%;0;0.31;1.22;1.22;0.61;40;33;0.92;2.8;5.5;1.84;0.31;0.61;0.31;2.1
2;Scott Neville;Brisbane;32;254;389;CD;0;0;0;0;0.03;0.93;75%;0;0;0.23;0.23;0.23;54;49;0.23;0.93;3.2;5.8;3.5;1.16;2.5;7
17;Anthony Caceres;Sydney;29;254;575;RM;0;0;0;0;0.07;1.57;20%;0.16;0.16;0.94;0.78;0.31;61;53;0.78;3.9;7;5.3;0.94;0.63;2.8;3.9
8;Jordon Mutch;Macarthur FC;30;252;101;DM;0;0;0;0;0.29;4.5;20%;0;0;0;0;0;96;86;0.89;0.89;5.3;5.3;3.6;1.78;3.6;5.3
