Number;Player;Team;Age;InStat Index;Minutes played;Position;Goals;Penalty;"Penalties
 scored";Non-penalty Goals;xG (Expected goals);Shots;Shots on target, %;Assists;Expected assists;Сhances created;Key passes;Key passes accurate;Passes;Accurate passes;Crosses accurate;Dribbles successful;Attacking challenges won;Defensive challenges won;Air challenges won;Ball recoveries in opponent's half;Tackles successful;Ball interceptions
25;Pawee Tanthatemee;Ratchaburi;25;243;98;CD;0;0;0;0;0.06;0.92;0;0;0;0.92;0;0;27;26;0;0.92;2.8;7;0.92;0;1.84;7
22;Gabriel Quak Jun Yi;Sailors;31;236;62;RM;0;0;0;0;0.73;4.4;33%;0;1.45;4.4;1.45;1.45;26;22;1.45;5.8;10;4.4;1.45;0;4.4;1.45
8;Minh Vuong Tran;Hoang Anh Gia;26;235;34;CM;0;0;0;0;0.11;5.3;50%;0;0;2.6;2.6;2.6;127;111;0;0;2.6;8;5.3;2.6;5.3;8
14;Hoang Duc Nguyen;Viettel;23;233;354;DM;0.25;0;0;0.25;0.08;2.5;10%;0;0.51;0.51;1.78;0.51;69;61;0;2.8;4.6;3.3;1.53;1.53;1.02;2.3
27;Leng Nora;0;0;233;38;LD;0;0;0;0;0;0;0;0;0;2.4;2.4;2.4;62;57;0;4.7;9;9;2.4;4.7;7;0
3;Theerathon Bunmathan;Yokohama FM;31;232;386;LD;0;0;0;0;0.02;0.47;50%;0.23;0.47;1.17;1.87;1.17;83;69;0.47;1.17;2.3;5.4;1.63;0.93;0.93;5.4
14;Huu Dung Nguyen;Thanh Hoa;26;231;180;DM;0;0;0;0;0.08;1;100%;1;0;1.5;1.5;1;41;34;0;3;3.5;4.5;1;3;3;5.5
21;S. Baharudin;Selangor;30;230;480;CD;0.19;0;0;0.19;0.15;1.69;56%;0.38;0;1.13;0.38;0.38;46;41;0;0.56;3.9;5.6;5.8;0.38;0.75;5.1
7;Prak Monyudom;Svay;27;229;38;CM;2.4;0;0;2.4;0.17;7;33%;0;0;2.4;0;0;76;69;0;0;0;7;0;4.7;2.4;2.4
29;Autra Picha;0;0;229;28;LM;0;0;0;0;0.48;3.2;0;0;0;6;6;3.2;71;64;0;10;10;0;0;0;0;0
18;Chanathip Songkrasin;Sapporo;28;228;334;CM;0.54;0.27;0;0.54;0.35;2.2;50%;0;0;0.27;1.35;0.27;48;41;0.27;2.7;5.1;1.08;0;0;1.08;0.54
10;Teerasil Dangda;0;29;227;252;F;1.43;0.71;0.71;0.72;1.63;7;55%;0;0;1.07;1.79;0.71;31;25;0;0.71;5.7;1.07;3.6;0.71;0.36;0.36
25;Kumi Irfan Samaling;Indonesia;0;227;80;LM;1.13;0;0;1.13;1.25;3.4;33%;1.13;0;1.13;1.13;0;33;28;0;2.3;5.6;5.6;1.13;2.3;4.5;1.13
13;Philip Roller;Port;27;224;48;RD;0;0;0;0;0.47;3.8;0;0;0;1.88;1.88;1.88;30;26;0;1.88;1.88;3.8;0;0;0;5.6
15;N. Weerawatnodom;Buriram;27;222;463;RM;0;0;0;0;0.03;0.39;50%;0.58;0.39;1.17;0.78;0.58;50;40;1.75;1.17;2.7;4.3;1.56;0.39;2.1;4.1
26;Kritsada Kaman;Chonburi;22;222;480;DM;0;0;0;0;0.05;0.75;25%;0;0;0;0.19;0;49;42;0;0.56;1.69;5.1;4.1;0.19;0.56;8
19;Quang Hai Nguyen;Ha Noi;24;219;484;CM;0.37;0;0;0.37;0.25;4.3;35%;0.37;0.37;1.86;2;0.93;44;35;0.19;1.12;2.6;2;0.93;0.74;1.3;1.49
3;Ngoc Hai Que;Viettel;28;217;482;CD;0;0;0;0;0;0.19;0;0;0;0;0.19;0;51;44;0.19;0.19;0.93;6;2.8;0.19;1.49;4.9
28;Alfeandra Dewangga Santosa;0;0;217;191;DM;0;0;0;0;0.04;2.8;0;0.47;0;0.94;0.47;0.47;57;49;0;0.94;2.4;4.7;1.88;1.88;0.94;8
6;K. Ingreso;BG Pathum;28;216;261;CM;0.34;0;0;0.34;0.13;1.38;25%;0.69;0.69;1.38;1.03;0.69;47;42;0.69;1.38;2.8;3.1;0.69;1.38;1.03;4.5
4;Manuel Bihr;Bangkok;28;216;480;CD;0;0;0;0;0.06;0.38;50%;0;0;0.38;0;0;41;37;0;0;1.31;4.5;4.7;0.19;0.19;4.7
4;Tien Dung Bui;Da Nang;23;216;98;CD;0;0;0;0;0.11;0.92;0;0;0;0.92;0;0;77;74;0;0;2.8;5.5;5.5;0.92;0.92;2.8
13;Tan Tai Ho;Binh Dinh;24;216;308;RD;0;0;0;0;0.18;2;14%;0.58;0;1.46;1.46;0.29;63;51;1.46;2;4.1;4.4;2.6;2.6;2;2.9
12;T. Suengchitthawon;Leicester City;21;216;299;CM;0;0;0;0;0.13;2.7;56%;0.3;0.6;1.2;0.9;0.6;64;57;1.2;1.81;3;3;1.2;0.9;1.2;2.4
14;Asnawi Mangkualam;Ansan Greeners;22;214;455;RD;0.2;0.2;0.2;0;0.16;0.4;100%;0.4;0.59;0.79;1.38;0.59;52;42;0.79;3;5.1;5.3;1.19;1.38;3;4.4
17;I. Ahmad;BG Pathum;24;212;480;CD;0;0;0;0;0.13;0.56;33%;0;0;0.38;0.38;0;38;32;0;1.13;2.8;5.8;3.8;1.13;0.56;8
8;Witan Sulaeman;Lechia Gdansk;20;212;418;RM;0.43;0;0;0.43;0.25;2.2;50%;0.43;0.43;0.86;2.6;0.86;31;24;0.43;1.29;3;1.29;0.22;0.86;0.65;1.08
3;Shahrul;JDT;28;211;260;CD;0.35;0;0;0.35;0.07;0.35;100%;0;0;0;0;0;50;45;0;0;0;5.2;1.04;1.04;3.1;9
8;Thitiphan Puangjan;Bangkok;28;211;284;CM;0;0;0;0;0.23;1.58;40%;0;0;1.27;1.27;0.63;44;40;0.32;0.95;4.8;5.1;4.1;1.27;2.9;4.8
30;Ean Pisey;Bati Youth;0;211;33;LM;0;0;0;0;0.44;5.5;50%;2.7;0;2.7;8;2.7;68;46;0;8;11;0;0;2.7;0;0
4;R. Prabowo;Pulau Pinang;26;210;46;CD;0;0;0;0;0.02;1.96;0;0;0;0;0;0;22;14;0;0;0;10;3.9;0;3.9;14
16;Thanh Chung Nguyen;Ha Noi;24;210;442;CD;0;0;0;0;0.02;0.41;50%;0;0;0.41;0.2;0.2;52;43;0.2;0;2.9;7;4.1;1.43;1.43;4.5
12;P. Arhan;PSIS;20;210;331;LD;0.27;0;0;0.27;0.08;1.36;40%;0.27;0.27;1.09;0.27;0.27;41;27;0;1.9;2.2;5.4;2.4;1.09;1.9;3.8
6;Sarach Teetad Yooyen;BG Pathum;29;209;410;DM;0;0;0;0;0.01;0.66;33%;0.22;0.22;0.66;0.88;0.66;61;53;0.22;0.22;2.2;2.9;0.88;1.54;1.32;2.6
24;W. Kanitsribampen;Chonburi;24;209;174;CM;0.52;0;0;0.52;0.21;2.1;75%;1.03;0.52;2.1;2.6;2.1;45;39;0;1.03;1.03;1.55;0;2.1;1.03;2.6
6;Xuan Truong Luong;Hoang Anh Gia;26;209;158;DM;0;0;0;0;0.03;1.14;0;0;0;1.14;1.14;0.57;106;97;0;0.57;1.71;5.1;0.57;2.3;4;4.6
7;Supachok Sarachat;Buriram;23;209;268;CM;0.67;0;0;0.67;0.3;2.4;57%;0.34;0;1.34;1.34;0.67;34;29;0;1.01;2;1.01;0;1.01;0.34;1.68
5;R. Ramadhani;Persebaya;20;208;218;CD;0;0;0;0;0;0;0;0;0;0;0;0;37;33;0;0;0.41;5.8;1.65;0;1.24;7
2;Duy Manh Do;"Ha Noi T&amp;T U21";25;207;393;CD;0;0;0;0;0.02;0.46;0;0;0;0;0;0;63;55;0.23;0.69;0.92;5;2.5;2.3;1.83;7
16;P. Sookjitthammakul;Chiangrai;26;206;432;DM;0;0;0;0;0.01;0.42;0;0;0;0.21;0.63;0.21;51;44;0.21;0.63;1.67;3.8;1.25;0.83;1.25;4.4
12;A. Aguinaldo;Nongbua;26;206;238;CD;0;0;0;0;0.16;0.76;0;0;0;0;0;0;34;30;0;0.38;1.51;7;3.8;0.76;0.76;5.7
7;Hong Duy Nguyen Phong;Hoang Anh Gia;25;206;443;LM;0;0;0;0;0.04;1.02;0;0.2;0;0.2;0.81;0.41;48;39;0;1.22;3;3.5;2.2;1.42;0.81;3.9
11;Vathanaka Chan;Boeung Ket;27;205;132;F;1.36;0;0;1.36;0.67;4.8;57%;0;0;2;1.36;1.36;31;23;0.68;2;2.7;0;0.68;2;0;2
17;Van Thanh Vu;Hoang Anh Gia;25;205;351;RM;0;0.26;0;0;0.25;1.79;14%;0;0;0.26;1.54;0;64;52;0.26;1.79;2.8;2.6;1.79;0.77;0.77;3.1
6;E. Dimas;Bhayangkara;26;204;265;DM;0.68;0;0;0.68;0.26;3.1;44%;0.68;0.68;2;1.7;1.36;58;50;0;1.02;2.7;2.4;0;1.7;2;2.7
13;Rachmat Irianto;Persebaya;22;204;335;DM;0.54;0;0;0.54;0.31;1.34;40%;0;0.27;0.54;0.54;0.54;44;36;0;0.54;1.88;5.9;1.34;3.2;4.3;8
23;M. Steuble;Muangkan United;33;203;285;LD;0.32;0;0;0.32;0.01;0.32;100%;0.32;0;0.63;0.95;0.63;53;48;0.63;0.32;1.26;0.95;0.63;0.95;0.63;2.5
13;J. Baas;United City;21;203;238;CD;0;0;0;0;0.13;0.38;0;0;0;0.38;0;0;38;35;0;0;0.38;6;1.13;1.13;3;4.9
11;Tuan Anh Nguyen;Hoang Anh Gia;26;202;231;CM;0;0;0;0;0.04;1.17;0;0.78;0;1.17;1.17;0.78;60;55;0;1.17;3.1;3.9;0.39;2.3;1.56;4.3
16;H. Syahin;Young Lions;23;202;164;CM;0;0;0;0;0.02;1.1;50%;0;0;0;0.55;0;46;41;0;2.7;6;4.9;2.7;1.65;2.2;3.3
15;Song-Ui Young;Sailors;28;201;231;CM;0;0;0;0;0.11;1.56;50%;0.39;0;1.17;1.95;1.17;32;26;0;2.7;5.8;1.95;0.78;0.39;0.39;1.56
3;E. Febriansyah;Persita;24;201;150;LD;0;0;0;0;0.01;0.6;0;0;0;0.6;0.6;0.6;46;36;0.6;0;0.6;8;1.2;1.8;4.8;4.2
11;D. Sato;Suphanburi;27;200;285;LD;0;0;0;0;0.05;1.26;25%;0;0;0;0;0;57;51;1.26;1.89;2.2;4.1;0.32;2.2;1.89;4.1
19;Muhammad Akhyar;JDT;22;200;109;LM;0.83;0;0;0.83;0.48;4.1;40%;0;0.83;3.3;0.83;0.83;21;19;0;7;10;1.65;0;0.83;1.65;5
4;Tien Dung Bui;Viettel;26;199;322;CD;0.28;0;0;0.28;0.01;0.28;100%;0;0;0;0;0;42;35;0;0.28;1.12;3.6;3.4;0.84;0.56;2.5
11;Muhamad Safawi;JDT;24;199;298;RM;1.21;0.3;0.3;0.91;0.7;3;80%;0;0;0.3;1.21;0.3;35;28;0;2.4;5.1;0.3;1.81;0;0.3;1.21
7;Mohd Aidil Zafuan;JDT;34;198;184;CD;0;0;0;0;0.2;0.49;0;0;0;0.49;0.49;0.49;51;47;0;0;0.98;3.4;2.4;0;1.47;2.9
8;Shahdan Sulaiman;Sailors;33;198;353;DM;0;0;0;0;0.01;0.25;0;0.51;0.25;1.53;1.02;0.25;55;46;0.25;0.51;1.53;2.3;0.25;0.51;1.53;3.3
29;P. Reichelt;Suphanburi;33;198;281;RM;0.64;0;0;0.64;0.2;1.28;75%;0;0;0.64;0.96;0.32;21;14;0.64;2.2;4.8;2.9;1.92;0.64;1.28;3.5
10;F. Ramli;Sailors;29;198;377;LM;0.24;0;0;0.24;0.26;1.43;33%;0.48;0;1.19;0.72;0.48;20;15;0.24;2.1;5.5;2.4;0.72;0.95;1.91;1.91
2;Suriya Singhmui;Chiangrai;26;198;50;LM;0;0;0;0;0;0;0;0;0;1.8;1.8;1.8;47;32;0;0;1.8;5.4;3.6;1.8;1.8;9
