Rk,Player,Pos,Squad,90s,Tkl,TklW,TklDef3rd,TklMid3rd,TklAtt3rd,DrbTkl,DrbAtt,DrbTkl%,Lost,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err
7,Davide Adorni,CB,Brescia,21.5,1.4,0.98,0.84,0.51,0.05,0.84,1.16,72,0.33,1.02,0.65,0.37,1.12,2.51,3.49,0
11,Giorgio Altare,CB,Venezia,25.1,2.11,1.43,1.43,0.56,0.12,1,1.75,56.8,0.76,1.55,0.92,0.64,2.07,4.18,4.06,0.04
25,Valentin Antov,CB,Cremonese,29.3,1.64,1.06,0.82,0.68,0.14,0.78,1.16,67.6,0.38,1.3,0.61,0.68,1.19,2.83,3.11,0.03
39,Botond Balogh,CB,Parma,15,1.73,0.87,1.13,0.53,0.07,0.73,1.13,64.7,0.4,0.87,0.47,0.4,1.87,3.6,3.93,0
41,Federico Barba,CB,Como,29,0.93,0.66,0.55,0.34,0.03,0.34,0.59,58.8,0.24,0.66,0.38,0.28,1.1,2.03,3.76,0.03
55,Giuseppe Bellusci,CB,Ascoli,28.8,1.53,0.97,0.94,0.45,0.14,0.83,1.15,72.7,0.31,1.18,0.66,0.52,1.25,2.78,3.82,0.03
68,Matteo Bianchetti,CB,Cremonese,30.5,1.11,0.66,0.62,0.43,0.07,0.72,0.95,75.9,0.23,1.51,0.89,0.62,1.05,2.16,2.95,0.03
70,Alessandro Bianconi,CB,Calcio Lecco 1912,21.3,1.17,0.66,0.89,0.23,0.05,0.61,0.85,72.2,0.23,1.46,1.08,0.38,0.7,1.88,2.96,0
84,Eric Botteghin,CB,Ascoli,23.2,1.72,1.03,1.29,0.22,0.22,1.03,1.59,64.9,0.56,1.34,0.69,0.65,1.42,3.15,4.53,0.04
89,Nicolò Brighenti,CB,Catanzaro,28.5,1.54,1.09,0.74,0.67,0.14,0.77,1.02,75.9,0.25,1.09,0.63,0.46,1.3,2.84,4.39,0
106,Michele Camporese,CB,Cosenza,19,0.63,0.37,0.42,0.16,0.05,0.26,0.32,83.3,0.05,1.37,1,0.37,1.11,1.74,5.47,0
110,Simone Canestrelli,CB,Pisa,34.9,1.38,0.83,0.77,0.6,0,0.63,0.89,71,0.26,1.09,0.8,0.29,1.69,3.07,3.78,0
112,Alessandro Caporale,CB,Calcio Lecco 1912,29.2,0.96,0.48,0.62,0.27,0.07,0.45,0.96,46.4,0.51,1.13,0.41,0.72,1.16,2.12,3.25,0
114,Marco Capuano,CB,Ternana,25.1,2.19,1.47,1.59,0.6,0,1.16,1.59,72.5,0.44,2.03,1.39,0.64,1.04,3.23,5.34,0.08
115,Antonio Caracciolo,CB,Pisa,21.7,1.89,1.24,1.06,0.65,0.18,1.2,1.84,65,0.65,0.92,0.28,0.65,1.43,3.32,4.42,0
127,Cristian Cauz,CB,Modena,16.6,1.27,0.72,0.66,0.6,0,0.6,1.2,50,0.6,0.9,0.6,0.3,1.45,2.71,4.64,0.06
128,Pietro Ceccaroni,CB,Palermo,27.9,1.18,0.82,0.57,0.54,0.07,0.39,0.79,50,0.39,1.43,0.9,0.54,1.08,2.26,4.34,0.04
133,Luca Ceppitelli,CB,FeralpiSalò,28.9,1.73,1.14,1.18,0.52,0.03,0.76,1.25,61.1,0.48,1.35,1,0.35,1.38,3.11,4.95,0.03
145,Alessandro Circati,CB,Parma,28.1,0.89,0.46,0.53,0.28,0.07,0.53,0.78,68.2,0.25,1.21,0.93,0.28,0.89,1.78,3.49,0.04
147,Andrea Cistana,CB,Brescia,21.7,1.29,0.78,0.83,0.32,0.14,0.55,0.97,57.1,0.41,1.29,0.92,0.37,1.89,3.18,3.27,0.05
167,Marco Curto,CB,Como,22.1,1.09,0.68,0.81,0.23,0.05,0.59,1.27,46.4,0.68,1.54,0.77,0.77,0.9,1.99,2.04,0.14
191,Valerio Di Cesare,CB,Bari,26.6,0.94,0.71,0.64,0.26,0.04,0.45,0.56,80,0.11,1.28,0.75,0.53,0.9,1.84,3.42,0
200,Salim Diakité,CB,Ternana,17.9,1.28,0.73,0.45,0.56,0.28,0.95,1.23,77.3,0.28,1.34,0.89,0.45,1.62,2.91,3.13,0
253,Domenico Frare,CB,Cittadella,16.2,1.23,0.74,0.8,0.37,0.06,0.74,1.17,63.2,0.43,1.42,0.93,0.49,1.3,2.53,2.78,0
266,Daniele Ghilardi,CB,Sampdoria,35.4,1.5,1.13,0.99,0.51,0,0.82,1.24,65.9,0.42,0.88,0.34,0.54,1.02,2.51,3.95,0
271,Andrea Giorgini,CB,Südtirol,29.4,1.16,0.71,0.65,0.41,0.1,0.65,1.09,59.4,0.44,1.36,0.51,0.85,1.05,2.21,3.54,0
282,Edoardo Goldaniga,CB,Como,16,0.94,0.56,0.56,0.38,0,0.44,0.56,77.8,0.13,0.69,0.56,0.13,0.88,1.81,3.69,0
285,Facundo González,CB,Sampdoria,25.7,1.32,0.93,0.58,0.66,0.08,0.78,1.21,64.5,0.43,1.01,0.58,0.43,0.86,2.18,2.72,0
299,Petko Hristov,CB,Spezia,17.8,0.84,0.45,0.51,0.34,0,0.22,0.39,57.1,0.17,1.12,0.84,0.28,0.62,1.46,4.44,0.06
302,Jay Idzes,CB,Venezia,23.3,1.89,1.16,1.07,0.52,0.3,0.9,1.29,70,0.39,1.67,0.86,0.82,0.99,2.88,3.82,0
353,Luka Lochoshvili,CB,Cremonese,18.8,1.6,1.17,0.85,0.43,0.32,0.8,1.17,68.2,0.37,1.28,0.32,0.96,1.65,3.24,3.4,0.05
357,Lorenzo Lucchesi,CB,Ternana,23.9,2.05,1.51,1.13,0.88,0.04,0.92,1.38,66.7,0.46,1.26,0.67,0.59,1.59,3.64,3.77,0
358,Fabio Lucioni,CB,Palermo,23,1.35,0.74,0.78,0.52,0.04,0.48,0.83,57.9,0.35,1.26,1.09,0.17,1.3,2.65,4.43,0.04
375,Massimiliano Mangraviti,CB,Brescia,23.3,0.69,0.52,0.39,0.26,0.04,0.39,0.64,60,0.26,1.37,0.94,0.43,0.39,1.07,3.69,0
377,Valerio Mantovani,CB,Ascoli,15.8,0.95,0.63,0.44,0.51,0,0.63,0.82,76.9,0.19,1.08,0.82,0.25,1.27,2.22,2.78,0.13
381,Alessandro Marcandalli,CB,Reggiana,32.4,1.39,0.9,1.02,0.37,0,0.56,0.65,85.7,0.09,1.23,0.83,0.4,1.67,3.06,3.27,0.15
391,Andrea Masiello,CB,Südtirol,33.5,1.88,1.16,1.37,0.48,0.03,1.07,2.03,52.9,0.96,1.04,0.72,0.33,1.25,3.13,3.97,0.03
404,Andrea Meroni,CB,Cosenza,22.2,1.35,1.04,0.9,0.45,0,0.59,0.86,68.4,0.27,1.31,0.95,0.36,1.31,2.66,5.32,0
428,Ionuț Nedelcearu,CB,Palermo,18.4,0.87,0.71,0.65,0.22,0,0.43,0.54,80,0.11,0.76,0.6,0.16,0.65,1.52,3.7,0
429,Stefano Negro,CB,Cittadella,16.7,1.68,1.08,1.2,0.42,0.06,0.72,1.32,54.5,0.6,0.96,0.66,0.3,1.92,3.59,4.73,0.06
431,Dimitris Nikolaou,CB,Spezia,32.8,1.46,1.04,0.85,0.49,0.12,0.76,1.04,73.5,0.27,1.07,0.27,0.79,0.79,2.26,3.38,0
437,Cas Odenthal,CB,Como,28.3,1.41,0.74,1.06,0.32,0.04,0.95,1.31,73,0.35,1.2,0.57,0.64,0.67,2.08,5.05,0
445,Yordan Osorio,CB,Parma,21.7,0.65,0.28,0.41,0.23,0,0.18,0.28,66.7,0.09,1.29,1.2,0.09,1.34,1.98,3.82,0
453,Andrea Papetti,CB,Brescia,28.3,1.91,1.13,1.2,0.67,0.04,0.78,1.48,52.4,0.71,1.63,1.02,0.6,1.41,3.32,3.46,0.07
457,Nicola Pavan,CB,Cittadella,30,1.43,0.67,0.93,0.5,0,0.83,1.3,64.1,0.47,1.1,0.67,0.43,1.13,2.57,4.5,0
461,Antonio Pergreffi,CB,Modena,20.4,0.78,0.59,0.34,0.39,0.05,0.44,0.74,60,0.29,0.83,0.64,0.2,1.62,2.4,3.82,0.05
472,Alessandro Pilati,CB,FeralpiSalò,16.6,2.05,1.14,1.51,0.36,0.18,0.78,1.14,68.4,0.36,2.23,1.27,0.96,1.08,3.13,3.67,0
489,Danilo Quaranta,CB,Ascoli,21.1,1.56,0.95,0.85,0.62,0.09,1.14,1.47,77.4,0.33,0.76,0.33,0.43,0.9,2.46,4.41,0.05
495,Luca Ravanelli,CB,Cremonese,24.2,1.98,1.24,1.28,0.5,0.21,0.91,1.28,71,0.37,1.45,0.79,0.66,0.99,2.98,4.59,0.04
500,Alessandro Riccio,CB,Modena,17.7,1.47,1.02,0.9,0.45,0.11,0.68,1.3,52.2,0.62,1.02,0.51,0.51,1.13,2.6,4.07,0
509,Paolo Rozzio,CB,Reggiana,23.6,0.89,0.55,0.68,0.21,0,0.47,0.55,84.6,0.08,0.89,0.64,0.25,1.06,1.95,5.68,0
527,Stefano Scognamillo,CB,Catanzaro,33.5,1.4,0.87,0.99,0.36,0.06,0.81,1.25,64.3,0.45,1.07,0.69,0.39,1.19,2.6,3.16,0.03
555,Marin Šverko,CB,Venezia,27.5,1.49,1.02,0.76,0.51,0.22,0.87,1.13,77.4,0.25,1.13,0.69,0.44,1.16,2.65,3.64,0.04
556,Michael Svoboda,CB,Venezia,16.1,0.75,0.5,0.56,0.19,0,0.5,1.24,40,0.75,1.37,0.75,0.62,0.99,1.74,3.35,0
588,Michael Venturi,CB,Cosenza,28.4,1.62,1.06,0.88,0.67,0.07,0.53,1.37,38.5,0.85,1.34,0.77,0.56,1.41,3.03,5.18,0.07
596,Francesco Vicari,CB,Bari,36.9,1.08,0.7,0.87,0.22,0,0.84,1.03,81.6,0.19,1.22,0.95,0.27,0.95,2.03,3.47,0
615,Giovanni Zaro,CB,Modena,36.6,1.94,1.09,1.15,0.74,0.05,0.9,1.5,60,0.6,1.69,0.96,0.74,1.56,3.5,4.34,0
