Rk,Player,Pos,Squad,90s,PassCmp,PassAtt,PassCmp%,TotPassDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MedCmp,MedAtt,MedCmp%,LngCmp,LngAtt,LngCmp%,Ast,xAG,xA,A-xAG,KP,FinalThird,PPA,CrsPA,PrgP
7,Davide Adorni,CB,Brescia,21.5,40,47.8,83.6,849.5,337.1,10.9,12.6,86.7,22.8,25.1,90.7,5.95,8.88,67,0,0.01,0.01,-0.01,0.23,2.33,0.09,0,2.65
11,Giorgio Altare,CB,Venezia,25.1,50.6,63.9,79.1,1037.9,401.6,15.1,17.8,84.8,28.6,32.7,87.7,6.49,12.3,52.8,0.12,0.04,0.03,0.08,0.52,3.82,0.24,0.2,3.51
25,Valentin Antov,CB,Cremonese,29.3,51.7,60.2,85.9,949.2,336.7,19.5,21.6,90.1,27.3,30.2,90.4,4.16,6.38,65.2,0.03,0.05,0.04,-0.01,0.38,5.56,0.38,0.14,6.52
39,Botond Balogh,CB,Parma,15,47.2,53.5,88.2,924.2,261.8,13.1,15.1,86.3,30.5,32.8,92.9,3.53,5.07,69.7,0,0,0.01,0,0.07,2.47,0,0,2.4
41,Federico Barba,CB,Como,29,46.9,55,85.2,832.3,282,18.8,20.7,90.5,24.2,26.8,90.3,3.28,6.03,54.3,0,0.01,0.03,-0.01,0.21,2.14,0.17,0.03,2.69
55,Giuseppe Bellusci,CB,Ascoli,28.8,33,47.6,69.4,700.5,313.9,10.8,12.3,87.8,15.7,19.4,81,6.08,14.2,42.8,0.03,0.02,0.02,0.01,0.21,3.82,0.17,0.07,3.85
68,Matteo Bianchetti,CB,Cremonese,30.5,47.3,56.4,84,920.1,404.7,15.4,17.4,88.9,26.2,29.1,90.1,5.11,8.43,60.7,0,0.02,0.03,-0.02,0.23,4.49,0.36,0.1,5.31
70,Alessandro Bianconi,CB,Calcio Lecco 1912,21.3,39.1,43.3,90.1,832.1,247.1,9.58,10.7,89.9,22.6,23.6,95.6,6.53,8.31,78.5,0,0.01,0,-0.01,0.14,0.99,0,0,1.69
84,Eric Botteghin,CB,Ascoli,23.2,34.5,42.6,81,722.9,298.3,9.57,11.5,83.5,18.1,21.1,85.9,5.95,8.79,67.6,0,0.01,0.02,-0.01,0.26,2.93,0.22,0,3.71
89,Nicolò Brighenti,CB,Catanzaro,28.5,67.1,75.6,88.8,1174.1,436.8,26.9,28.5,94.3,36.4,39.1,92.9,3.37,6.84,49.2,0,0.01,0.02,-0.01,0.18,2.35,0.11,0.04,3.26
106,Michele Camporese,CB,Cosenza,19,38.6,44.5,86.7,766.5,274.8,12,13.1,91.6,21.3,23.2,91.6,4.79,7.11,67.4,0,0.02,0.01,-0.02,0.11,1.16,0.05,0,2
110,Simone Canestrelli,CB,Pisa,34.9,54.8,63.5,86.3,1042.9,393.6,19.2,20.7,93.1,30.3,33.1,91.7,4.81,8.48,56.8,0,0.01,0.02,-0.01,0.23,3.58,0.17,0,4.07
112,Alessandro Caporale,CB,Calcio Lecco 1912,29.2,35.2,52.2,67.3,698.6,327.6,13.6,16,85,15.7,21.5,73.2,5.48,12.4,44.1,0.14,0.12,0.12,0.01,0.86,3.25,0.82,0.48,3.29
