Rk,Player,Pos,Squad,90s,Touches,TchDefPen,TchDef3rd,TchMid3rd,TchAtt3rd,TchAttPen,TchLive,TkOnAtt,TkOnSucc,TkOnSucc%,Tkld,Tkld%,Carries,TotCrDist,PrgCrDist,PrgCrs,CrFinalThird,CrPA,Mis,Dis,Rec,PrgR
7,Davide Adorni,CB,Brescia,21.5,56.3,7.4,28.4,26.2,2.05,1.16,56.3,0,0,,0,,31.3,147,74.3,0.28,0.28,0.05,0.47,0.05,36.2,0.09
11,Giorgio Altare,CB,Venezia,25.1,76.4,7.45,35.1,36.1,5.58,1.51,76.4,0.48,0.32,66.7,0.12,25,39.3,175.7,88,0.72,0.64,0.04,0.56,0.32,48,0.84
25,Valentin Antov,CB,Cremonese,29.3,69.7,4.91,28.7,34.6,6.96,0.82,69.7,0.68,0.48,70,0.17,25,40.3,229.1,138.3,1.98,1.5,0.1,0.65,0.2,45.3,0.96
39,Botond Balogh,CB,Parma,15,63.1,6.6,31,30.9,1.47,0.53,63.1,0.27,0.13,50,0.13,50,31.7,123.5,60.1,0.13,0.27,0.07,0.33,0.13,38.7,0
41,Federico Barba,CB,Como,29,63,6.55,30.4,29.8,3.31,0.83,63,0.24,0.17,71.4,0.03,14.3,33.7,156,83.8,0.55,0.52,0.03,0.48,0.1,38,0.21
55,Giuseppe Bellusci,CB,Ascoli,28.8,57,6.7,26.8,26.6,3.99,0.56,57,0.28,0.14,50,0.14,50,25.1,114.7,67,0.76,0.28,0,0.17,0.17,30.4,0.31
68,Matteo Bianchetti,CB,Cremonese,30.5,65.4,6.03,28.2,32.5,5.11,0.89,65.4,0.23,0,0,0.2,85.7,34.1,160.5,103,0.95,0.49,0.03,0.36,0.07,39.9,0.72
70,Alessandro Bianconi,CB,Calcio Lecco 1912,21.3,51.4,8.69,33,17.9,0.94,0.56,51.4,0.66,0.52,78.6,0.14,21.4,28.7,141.6,68.4,0.33,0.14,0,0.38,0.19,33.8,0.09
84,Eric Botteghin,CB,Ascoli,23.2,54.8,7.54,26,25.8,3.23,2.07,54.8,0.26,0.09,33.3,0.17,66.7,23,127.5,70.6,0.47,0.17,0.04,0.6,0.13,25.6,0.17
89,Nicolò Brighenti,CB,Catanzaro,28.5,85.4,12.6,47.5,36.6,1.65,0.77,85.4,0.14,0.11,75,0,0,49.8,251.5,152.3,0.63,0.11,0,0.53,0.04,56.5,0.07
106,Michele Camporese,CB,Cosenza,19,55,8.32,30,23.7,1.37,0.95,55,0.05,0.05,100,0,0,27.9,129.8,66.7,0.26,0.05,0.11,0.32,0.11,32.6,0.11
110,Simone Canestrelli,CB,Pisa,34.9,72.8,7.62,35.4,35.5,2.52,0.77,72.8,0.26,0.14,55.6,0.11,44.4,41.3,202.3,120.6,0.86,0.37,0.03,0.23,0.14,49.2,0.43
112,Alessandro Caporale,CB,Calcio Lecco 1912,29.2,61.2,4.08,24.6,26.2,11.1,1.37,61.2,0.82,0.51,62.5,0.27,33.3,28.3,133.9,77.9,1.75,0.79,0.17,0.68,0.31,35.2,2.6
114,Marco Capuano,CB,Ternana,25.1,56.7,8.73,32.7,23.6,0.76,0.2,56.7,0.08,0.08,100,0,0,27.9,144.4,64.3,0.08,0,0,0.48,0.08,28.6,0.08
115,Antonio Caracciolo,CB,Pisa,21.7,76.5,10.2,41,32.4,3.27,1.11,76.5,0.14,0.05,33.3,0.09,66.7,42,196.5,92.5,0.37,0.37,0.09,0.65,0.28,51.8,0.28
127,Cristian Cauz,CB,Modena,16.6,61.7,7.65,33.7,26.1,2.41,1.02,61.7,0.18,0.18,100,0,0,32.8,162.3,94.9,0.6,0.3,0,0.66,0.24,36.2,0.36
128,Pietro Ceccaroni,CB,Palermo,27.9,69.3,9.03,32.9,31.8,5.16,1.47,69.3,0.29,0.14,50,0.14,50,42.2,259.8,176.3,1.68,1.04,0.04,0.68,0.07,44.4,0.97
133,Luca Ceppitelli,CB,FeralpiSalò,28.9,56.5,9.34,31,24.2,1.8,1.11,56.5,0.07,0.03,50,0.03,50,23.2,98.4,53.9,0.07,0.07,0.03,0.55,0.14,28,0.07
145,Alessandro Circati,CB,Parma,28.1,57,6.62,28.3,27.9,1.14,0.53,57,0.21,0.21,100,0,0,30.3,120.9,53.3,0.21,0.07,0,0.25,0.21,36.2,0.14
