Rk,Player,Nation,Pos,Squad,Age,Born,Min,90s,GA,PKAg,FKAg,CKAg,OGAg,PSxG,PSxG/SoT,PSxG+/-,PSxG+/-p90,LnchCmp,LnchAtt,LnchCmp%,PassAtt,Thr,PassLaunch%,AvgLen,GKAtt,GKLaunch%,GKAvgLen,CrsOpp,CrsStp,CrsStp%,#OPA,#OPA/90,AvgDist
1,Luis Barraza,us USA,GK,NYCFC,27-306,1996,79,0.9,4.44,0,0,0,0,3.56,0.67,-0.89,-0.87,3.33,6.67,50,30,3.33,22.2,28.7,5.56,0,23,10,1.11,11.1,0,0,11
2,Gavin Beavers,us USA,GK,RSL,19-133,2005,720,8,1.38,0.25,0.13,0.13,0,1.56,0.27,0.19,0.18,2.63,9.38,28,26.6,5.25,27.7,30.2,7,28.6,30.9,15.4,1.63,10.6,1.5,1.5,15.1
3,Andre Blake,jm JAM,GK,Philadelphia,33-293,1990,662,7.4,0.81,0,0,0,0,0.84,0.23,0.03,0.03,3.78,9.46,40,18,4.46,25.6,29.3,7.84,62.1,45.7,15,0.81,5.4,0.14,0.14,9.5
4,Alex Bono,us USA,GK,D.C. United,30-137,1994,"2,070",23,1.78,0.09,0,0.26,0.04,1.66,0.37,-0.08,-0.08,11.1,23,48.2,30.1,3.65,57.6,41.7,6.39,88.4,59.2,11.5,0.48,4.2,2.04,2.04,20.3
5,Christopher Brady,us USA,GK,Fire,20-190,2004,"2,430",27,1.81,0.26,0.04,0.07,0.04,1.7,0.29,-0.08,-0.08,3.44,10.7,32.2,20.1,4.85,32.8,33.1,7.81,52.6,42.8,11.5,0.7,6.1,0.81,0.81,14.4
6,Sebastian Breza,ca CAN,GK,CF Montréal,26-178,1998,90,1,2,1,0,0,0,2.8,0.18,0.8,0.75,3,22,13.6,20,4,60,41.1,17,58.8,40.5,28,0,0,0,0,4.5
7,Roman Bürki,ch SUI,GK,St. Louis,33-300,1990,"2,371",26.3,1.75,0.15,0.04,0.08,0.08,1.85,0.37,0.17,0.17,5.36,14.8,36.2,28.2,3.88,42.9,38,5.17,52.9,45.3,12.2,0.3,2.5,1.48,1.48,16.6
8,Evan Bush,us USA,GK,Crew,38-187,1986,124,1.4,1.43,0,0,0,0,2.21,0.39,0.79,0.8,2.14,9.29,23.1,30.7,5.71,25.6,28.7,8.57,16.7,24.8,14.3,0,0,0,0,3
9,Drake Callender,us USA,GK,Inter Miami,26-338,1997,"2,340",26,1.38,0.15,0,0.19,0.08,1.48,0.29,0.17,0.17,2.46,8.23,29.9,26.5,5.04,22.1,28.4,7.85,30.4,31.4,13.3,1.19,9,0.69,0.69,11
10,Roman Celentano,us USA,GK,FC Cincinnati,23-361,2000,"2,070",23,1.3,0.13,0,0.22,0.09,1.3,0.28,0.09,0.09,3,8.13,36.9,21.3,4.7,27.6,29.6,7.35,30.8,30.2,13,1,7.7,0.74,0.74,12.8
11,Steve Clark,us USA,GK,Dynamo FC,38-148,1986,"2,142",23.8,1.09,0.08,0,0.25,0,1.37,0.33,0.27,0.27,2.1,5.55,37.9,24.4,4.08,17.2,26.1,4.58,29.4,30.9,12.8,0.63,4.9,1.22,1.22,15.1
12,Josh Cohen,us USA,GK,Atlanta Utd,32-022,1992,209,2.3,2.17,0,0.43,0,0.43,0.65,0.15,-1.09,-1.07,6.52,10.4,62.5,32.2,6.09,31.1,29.5,3.91,11.1,22.1,10.9,0.43,4,0,0,10.7
13,Carlos Coronel,py PAR,GK,NY Red Bulls,27-255,1996,"1,890",21,1.38,0.14,0.1,0.14,0.1,1.28,0.28,-0.01,-0.01,4.62,15.7,29.4,26.6,3.86,42.5,37.4,6.9,64.1,49.3,13,0.76,5.8,1.33,1.33,14.1
14,Maxime Crépeau,ca CAN,GK,Portland Timbers,30-121,1994,"1,307",14.5,2,0.14,0,0.48,0.07,1.77,0.35,-0.16,-0.16,5.52,13.1,42.1,33,4.62,32.6,33.2,6.41,36.6,35.1,14.2,1.24,8.7,1.52,1.51,14.8
15,Daniel,br BRA,GK,SJ Earthquakes,30-126,1994,540,6,1.83,0,0,0.5,0,1.43,0.31,-0.4,-0.41,3.33,9.17,36.4,26.2,4.67,27.4,30.4,5.83,34.3,31.2,13.2,0.17,1.3,1.5,1.5,14.8
16,C.J. dos Santos,us USA,GK,Inter Miami,24-016,2000,90,1,4,0,0,0,0,2.4,0.39,-1.6,-1.64,2,4,50,25,2,16,30.6,11,0,21.6,14,0,0,1,1,17.5
17,Earl Edwards Jr.,us USA,GK,NE Revolution,32-229,1992,90,1,1,0,0,0,0,1.1,0.57,0.1,0.14,5,7,71.4,33,2,18.2,25.8,8,12.5,30.4,9,0,0,0,0,8
18,Matt Freese,us USA,GK,NYCFC,26-007,1998,"2,351",26.1,1.23,0.08,0.04,0.04,0,1.48,0.29,0.25,0.25,2.72,9.89,27.5,34.1,6.13,22.6,28.5,6.82,32,33.3,13,1,7.7,1.15,1.15,14.9
19,Stefan Frei,ch SUI,GK,Seattle,38-142,1986,"1,924",21.4,1.12,0.14,0,0.05,0,1.07,0.26,-0.06,-0.06,3.79,11.4,33.2,21.4,3.79,35.7,35,7.85,47.6,42,13.4,0.93,7,0.37,0.37,10.4
20,Pedro Gallese,pe PER,GK,Orlando City,34-199,1990,"1,980",22,1.36,0.14,0.05,0.09,0,1.27,0.31,-0.1,-0.1,3.68,9.18,40.1,18.4,3.05,36.8,33.5,6.23,38.7,32.9,11,0.59,5.3,1.05,1.05,14.9
21,Luka Gavran,ca CAN,GK,Toronto FC,24-123,2000,810,9,2,0,0.11,0.11,0,1.83,0.33,-0.17,-0.17,3.89,10,38.9,24.4,4.56,32.7,33.5,7,28.6,29.9,11.9,0.67,5.6,1.22,1.22,13.8
22,Brad Guzan,us USA,GK,Atlanta Utd,40-000,1984,"2,219",24.7,1.34,0.12,0,0.24,0,1.45,0.27,0.11,0.11,7.45,15.2,48.9,32.6,4.37,37.2,35.2,6.23,50,41,12.5,0.81,6.5,1.01,1.01,14.2
23,Nicholas Hagen,gt GUA,GK,Crew,28-038,1996,236,2.6,1.15,0,0,0.77,0,1.31,0.22,0.15,0.17,1.54,7.69,20,28.8,4.62,16,25.5,8.46,36.4,36,10.4,0.38,3.7,0.77,0.76,14.2
24,Clint Irwin,us USA,GK,Minnesota Utd,35-161,1989,450,5,2.4,0.2,0,0.2,0,2.3,0.32,-0.1,-0.1,3.4,9.2,37,21.2,7.2,33,31.2,8.2,26.8,25.7,11,1,9.1,1.6,1.6,17.4
25,Aljaž Ivačič,si SVN,GK,NE Revolution,30-255,1993,"1,530",17,1.94,0.18,0,0.29,0,2.06,0.3,0.12,0.12,5.18,15.6,33.1,24.8,3,40.5,36.4,8.59,65.1,52.1,14.1,0.41,2.9,0.47,0.47,10.1
26,Jacob Jackson,us USA,GK,SJ Earthquakes,24-137,2000,270,3,3,0,0,0,0,1.73,0.29,-1.27,-1.27,3,10.7,28.1,23.3,5.33,25.7,30.2,10,46.7,40.7,13.7,0.67,4.9,0.67,0.67,13.5
27,Sean Johnson,us USA,GK,Toronto FC,35-101,1989,"1,710",19,1.68,0.11,0,0.16,0.05,1.55,0.34,-0.08,-0.08,3.42,12.6,27.1,28.4,3.89,34.1,33,6.79,43.4,40.6,12.7,0.79,6.2,1.42,1.42,16.4
28,Kristijan Kahlina,hr CRO,GK,Charlotte,32-047,1992,"2,430",27,1.07,0,0.04,0.19,0,1.39,0.31,0.32,0.32,3.67,10.6,34.5,29.2,4.89,27.4,31.1,6.7,39.2,38,14.8,1.07,7.3,1.96,1.96,17.1
29,Alec Kann,us USA,GK,FC Cincinnati,34-032,1990,270,3,1.33,0,0,0.33,0,0.9,0.27,-0.43,-0.42,2.67,8.33,32,19.7,5.33,22,28.2,7.67,52.2,38,16.3,0,0,0,0,10.6
30,Hugo Lloris,fr FRA,GK,LAFC,37-258,1986,"2,340",26,1.23,0.04,0.08,0.15,0.08,1.19,0.29,0.03,0.03,4.62,12.8,35.9,27.3,3.77,36.2,35.3,7.42,39.9,36.2,14.5,0.73,5,0.73,0.73,14
31,Evan Louro,us USA,GK,FC Cincinnati,28-234,1996,90,1,2,0,0,0,0,1.8,0.18,-0.2,-0.18,2,8,25,17,4,41.2,34,6,16.7,20.8,15,0,0,0,0,0
32,Benjamin Lundt,de GER,GK,St. Louis,28-351,1995,149,1.7,4.12,0,0,0,0,2.18,0.34,-1.94,-1.99,8.24,18.8,43.8,22.9,4.71,53.8,40.5,9.41,68.8,51.1,15.9,1.18,7.4,0,0,8
33,Zac MacMath,us USA,GK,RSL,33-033,1991,"1,710",19,1.32,0.05,0,0.05,0.05,1.2,0.26,-0.06,-0.06,4.95,11.8,42,35.2,5.47,28.6,31.9,6.47,26.8,30.1,10.3,0.79,7.7,1.68,1.68,16.7
34,Jimmy Maurer,us USA,GK,FC Dallas,35-331,1988,90,1,0,0,0,0,0,0.8,0.2,0.8,0.78,9,13,69.2,41,1,26.8,28.4,6,33.3,31.5,24,0,0,0,0,8
35,John McCarthy,us USA,GK,LA Galaxy,32-067,1992,"2,340",26,1.38,0.15,0,0.35,0.04,1.6,0.27,0.26,0.26,3,10.5,28.6,22.8,4.85,35.5,32.4,7.31,32.6,32.7,14.6,0.73,5,0.35,0.35,10.1
36,Ryan Meara,us USA,GK,NY Red Bulls,33-299,1990,630,7,0.86,0,0.14,0,0,0.71,0.33,-0.14,-0.15,2.86,12.4,23,20.1,5,39,34.8,6.29,72.7,52.2,8,0.57,7.1,1.29,1.29,16.1
37,Tim Melia,us USA,GK,Sporting KC,38-117,1986,"2,250",25,1.84,0.08,0,0.2,0.12,1.75,0.38,0.03,0.03,3.76,14,26.8,25.4,4.24,38.8,35.3,6.76,61.5,48.3,9.8,0.52,5.3,0.68,0.68,12.9
38,Novak Mićović,rs SRB,GK,LA Galaxy,22-320,2001,180,2,1,0,0,0,0,0.45,0.16,-0.55,-0.53,1.5,4,37.5,25.5,6,9.8,21.6,9.5,15.8,27.3,10,0,0,1,1,15
39,Tyler Miller,us USA,GK,D.C. United,31-181,1993,450,5,3,0.4,0,0.4,0,2.14,0.3,-0.86,-0.86,11.6,33.2,34.9,31.8,1.8,77.4,51,8.6,100,67.2,13,0.8,6.2,3,3,18.4
40,Javier Otero,ve VEN,GK,Orlando City,21-296,2002,62,0.7,4.29,0,0,0,0,3,0.7,-1.29,-1.31,4.29,10,42.9,22.9,5.71,25,30.1,7.14,60,41,5.71,1.43,25,1.43,1.45,14.6
41,Maarten Paes,id IDN,GK,FC Dallas,26-118,1998,"2,430",27,1.67,0.15,0,0.19,0.07,1.63,0.25,0.04,0.04,3.33,8.93,37.3,26.7,4.19,24.2,28.5,7.11,34.9,32.9,13.1,0.44,3.4,1.3,1.3,15.8
