Rk,Player,Nation,Pos,Squad,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
1,Luis Barraza,us USA,GK,NYCFC,79,0.9,4.44,4.56,5.56,1.11,20,0,0,0,0,0,0,0,0,0,0
2,Gavin Beavers,us USA,GK,RSL,720,8,1.38,1.37,4.5,3,75,0.63,0.13,0.25,0.38,37.5,0.38,0.25,0.13,0,33.3
3,Andre Blake,jm JAM,GK,Philadelphia,662,7.4,0.81,0.82,3.65,2.84,77.8,0.54,0.27,0.41,0.27,22.2,0,0,0,0,0
4,Alex Bono,us USA,GK,D.C. United,"2,070",23,1.78,1.78,4.26,2.52,60.2,0.35,0.3,0.35,0.09,8.7,0.09,0.09,0,0,0
5,Christopher Brady,us USA,GK,Fire,"2,430",27,1.81,1.81,5.15,3.37,69.8,0.22,0.26,0.52,0.15,14.8,0.26,0.26,0,0,0
6,Sebastian Breza,ca CAN,GK,CF Montréal,90,1,2,2,10,8,90,0,1,0,0,0,1,1,0,0,0
7,Roman Bürki,ch SUI,GK,St. Louis,"2,371",26.3,1.75,1.75,4.68,2.97,65.9,0.19,0.49,0.34,0.23,22.2,0.19,0.15,0.04,0,20
8,Evan Bush,us USA,GK,Crew,124,1.4,1.43,1.45,5.71,4.29,75,0,0.71,0.71,0,0,0.71,0,0,0.71,0
9,Drake Callender,us USA,GK,Inter Miami,"2,340",26,1.38,1.38,4.54,3.19,72.9,0.69,0.19,0.12,0.19,19.2,0.19,0.15,0.04,0,20
10,Roman Celentano,us USA,GK,FC Cincinnati,"2,070",23,1.3,1.3,4.17,2.96,71.9,0.61,0.13,0.26,0.26,26.1,0.13,0.13,0,0,0
11,Steve Clark,us USA,GK,Dynamo FC,"2,142",23.8,1.09,1.09,4.08,2.98,75.3,0.42,0.29,0.29,0.29,29.2,0.08,0.08,0,0,0
12,Josh Cohen,us USA,GK,Atlanta Utd,209,2.3,2.17,2.15,4.35,2.61,50,0.43,0,0.43,0,0,0,0,0,0,0
13,Carlos Coronel,py PAR,GK,NY Red Bulls,"1,890",21,1.38,1.38,4.19,2.9,70.5,0.38,0.43,0.19,0.19,19,0.14,0.14,0,0,0
14,Maxime Crépeau,ca CAN,GK,Portland Timbers,"1,307",14.5,2,2,4.76,2.83,60.9,0.28,0.34,0.41,0.07,6.7,0.21,0.14,0,0.07,0
