Player;Position;Minutes played;Assists per 90;xA per 90;Deep completions per 90;Key passes per 90;Crosses per 90;Accurate crosses, %;Deep completed crosses per 90;Passes per 90;Accurate passes, %;Accurate progressive passes, %;Accurate passes to final third, %;Accurate passes to penalty area, %;Dribbles per 90;Successful dribbles, %;Progressive runs per 90;Offensive duels won, %;Defensive duels won, %;PAdj Sliding tackles;PAdj Interceptions
T. Alexander-Arnold;RB;1727;0.42;0.39;1.82;1.04;4.59;42.05;1.77;63.68;79.38;87.21;67.09;50.43;1.51;48.28;1.25;42.55;59.26;0.26;7.61
A. Robertson;LB;1311;0.27;0.18;1.51;0.76;4.87;33.8;1.44;62.4;83.83;85.88;78;50;1.51;54.55;2.75;43.9;54.55;0.12;7.18
João Cancelo;LB;1921;0.19;0.08;2.06;0.52;3.89;34.94;1.26;78.38;86.55;83.27;81.18;53.72;4.03;61.63;2.48;52.38;65.69;0.26;7.01
L. Shaw;LB;1265;0.07;0.2;0.36;0.28;2.63;16.22;0.36;47.95;83.09;79.61;71.59;29.73;1.42;60;3.2;50.98;53.68;0.58;4.84
A. Wan-Bissaka;RB;1454;0;0.04;0.31;0.25;1.92;35.48;0.56;44.5;84.14;63.64;76.19;41.94;3.03;65.31;2.54;55.67;61;1.25;6.65
K. Tierney;LB;1279;0.21;0.08;0.56;0.35;4.08;39.66;1.27;36.24;79.03;72.12;66.1;42.55;2.6;62.16;2.11;59.65;58.62;0.09;4.77
L. Digne;LB;1261;0;0.16;0.43;0.36;3.43;33.33;1.21;36.26;77.36;72.73;71.43;50;2.21;67.74;1;53.85;66.04;0.76;7.33
T. Castagne;RB;1386;0;0.04;0.45;0.19;1.23;47.37;0.52;38.25;81.83;66.34;60.71;52.38;1.17;66.67;0.91;39.13;68;0.25;6.43
Sergio Reguilón;LB;1370;0.2;0.11;0.66;0.66;3.88;33.9;1.31;36.2;76.41;62.04;73.33;42.11;2.76;42.86;1.58;37.35;60.68;0.52;5.67
K. Walker;RB;1116;0.08;0.05;0.73;0.32;1.45;38.89;0.48;73.23;91.19;80.26;84.21;45.83;0.89;54.55;2.42;40.54;64.52;0.27;4.71
Ricardo Pereira;RB;647;0.28;0.1;1.53;0.42;1.53;27.27;0.7;40.48;78.35;60.34;46.15;81.25;2.5;77.78;1.11;64.86;61.11;1.32;8.11
T. Tomiyasu;RB;1502;0.06;0.06;0.24;0.3;1.92;40.63;0.78;43.32;82.99;75.69;77.66;47.22;1.56;53.85;1.5;35.38;64.84;0.31;8.09
J. Gomez;RB;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.5
O. Zinchenko;LB;548;0.16;0.05;0.99;0.49;2.14;69.23;1.31;72.1;91.12;84.38;84.13;72.22;0.49;66.67;3.12;41.67;60.61;0;8.57
Emerson;RB;1285;0.07;0.14;0.56;0.63;3.85;27.27;1.05;44.75;80.28;66.67;53.85;40.48;2.73;58.97;1.54;51.06;64.71;0.69;7.06
M. Cash;RB;1846;0;0.06;0.49;0.1;2.93;21.67;0.73;29.5;72.89;70;58.16;34.69;2.34;64.58;1.9;48.51;61.67;1.12;7.1
M. Aarons;RB;1838;0.05;0.07;0.69;0.49;1.86;36.84;0.73;32.71;80.69;73.48;69.23;50.88;4.46;49.45;2.15;47.83;72.03;0.35;5.28
Marc Cucurella;LB;1505;0.06;0.1;0.9;0.3;2.93;40.82;1.08;50.71;83.25;72.67;62.2;58.33;1.55;46.15;1.67;46.55;57.14;0.09;5.96
V. Livramento;RB;1747;0;0.09;0.41;0.31;2.68;30.77;0.93;32.76;79.25;70.48;58.62;47.92;4.38;60;2.83;54.9;61.54;0.72;7.54
Alex Telles;LB;517;0;0.06;0.35;0.17;2.96;23.53;0.7;40.56;79.4;65.31;68.18;35.71;0.87;40;1.04;15.79;64.81;0.94;7.32
T. Lamptey;RB;736;0.12;0.1;0.12;0.61;4.65;34.21;1.35;34.48;80.5;65.12;72.22;44;7.09;46.55;4.4;41.9;52.94;0.96;5.77
