Number;Player;Team;Age;InStat Index;Minutes played;Position;Goals;Penalty;"Penalties
 scored";Non-penalty Goals;xG (Expected goals);Shots;Shots on target, %;Assists;Expected assists;Сhances created;Key passes;Key passes accurate;Passes;Accurate passes;Crosses accurate;Dribbles successful;Attacking challenges won;Defensive challenges won;Air challenges won;Ball recoveries in opponent's half;Tackles successful;Ball interceptions
23;Jordy Buijs;Kyoto Sanga;33;250;3903;CD;0.12;0;0;0.12;0.1;0.88;34%;0.05;0.02;0.14;0.42;0.09;52;44;0.05;0.58;1.84;6;4.2;0.95;0.76;8
17;Yuto Suzuki;Iwata;28;250;3678;RM;0.2;0;0;0.2;0.14;1.08;30%;0.15;0.1;0.69;0.78;0.51;61;52;0.54;1.54;3.2;4.3;1.49;0.86;2.2;4.5
23;Kosuke Yamamoto;Iwata;32;249;3858;DM;0.12;0;0;0.12;0.07;0.91;33%;0.14;0.14;0.51;0.42;0.3;75;68;0.44;0.44;1.73;3.9;0.68;1.49;2.3;4.8
5;Hiroki Noda;Montedio;24;249;3382;CD;0.05;0;0;0.05;0.1;0.56;38%;0.05;0.05;0.29;0.32;0.16;64;56;0;0.27;1.57;8;4.8;1.09;1.09;7
16;Seiya Maikuma;V-Varen;24;249;3664;RD;0.1;0;0;0.1;0.09;0.74;33%;0.25;0.22;0.69;0.86;0.54;56;48;0.49;1.74;2.7;4.9;1.92;0.84;2.1;5.8
10;Hiroki Yamada;Iwata;33;248;3254;CM;0.3;0;0;0.3;0.25;1.85;49%;0.06;0.22;0.69;0.89;0.47;44;37;0.58;1.71;4.3;2.2;0.64;0.72;1.52;3.3
7;Keita Tanaka;Ryukyu;32;247;1942;RD;0.09;0;0;0.09;0.04;0.51;18%;0.42;0.14;0.65;0.97;0.42;61;50;1.44;0.7;1.85;4.2;0.83;0.6;2.1;3.7
24;Keisuke Nishimura;Omiya;23;247;194;CD;0;0;0;0;0.03;0.46;0;0;0;0.46;0.46;0;51;44;0;0;0.93;8;5.6;0.46;0.93;5.1
34;Taku Inafuku;Matsumoto Yamaga;19;244;39;DM;0;0;0;0;0;0;0;0;0;2.3;2.3;2.3;72;58;2.3;0;7;9;0;12;9;14
2;J. Sumiyoshi;Hiroshima;24;243;2022;CD;0.04;0;0;0.04;0.04;0.4;22%;0.04;0.04;0.09;0.09;0.04;58;50;0;0.8;2.5;9;4.5;1.25;2.2;8
3;Kentaro Oi;Iwata;37;242;3511;CD;0.05;0;0;0.05;0.07;0.36;43%;0.1;0.03;0.18;0.13;0.08;51;46;0;0.13;1.33;7;3.4;0.56;1.72;5.4
39;Jin Izumisawa;Kofu;30;242;2203;CM;0.41;0;0;0.41;0.28;2.1;46%;0.2;0.29;1.02;1.02;0.61;33;26;1.1;2.2;3.1;0.86;0;0.53;0.61;1.27
9;P. Utaka;Kyoto Sanga;37;240;3631;F;0.52;0.05;0.05;0.47;0.51;3.9;38%;0.22;0.37;1.56;1.56;0.82;31;24;0.35;2.5;6;0.82;1.41;0.84;0.35;2.6
5;M. Fitzgerald;Albirex;33;240;3444;CD;0;0;0;0;0.05;0.24;44%;0;0;0.08;0.34;0.03;81;73;0.05;0.52;1.49;4.8;2.5;0.91;0.97;5.6
15;Hiroki Ito;VfB Stuttgart;22;240;1358;CD;0.13;0;0;0.13;0.06;1.46;18%;0.13;0.13;0.73;1.06;0.6;71;58;0.86;0.6;1.52;6;1.72;1.52;2.2;7
50;Yasuhito Endo;Iwata;41;239;3106;DM;0.09;0;0;0.09;0.06;0.72;20%;0.14;0.46;0.75;0.75;0.46;86;76;0.67;0.41;1.07;1.88;0.55;0.99;0.96;3.6
28;Wellington;V-Varen;29;238;1643;RM;0.38;0.05;0;0.38;0.19;2.2;33%;0.11;0.22;0.71;0.55;0.33;44;35;0.77;2.1;3.7;3.2;0.77;0.99;1.97;3.3
33;Yoshiaki Takagi;Albirex;29;237;3811;CM;0.24;0.02;0.02;0.22;0.18;1.77;36%;0.33;0.26;1.3;1.18;0.73;45;34;0.99;1.75;4.7;1.91;0.83;0.87;1.06;1.56
25;Soya Fujiwara;Albirex;26;237;3459;RD;0;0;0;0;0.08;0.55;38%;0.08;0.1;0.55;0.47;0.29;67;58;0.34;1.48;2.8;4.9;1.54;0.73;1.95;4.6
24;Keisuke Nishimura;Omiya;23;237;3042;CD;0.06;0;0;0.06;0.06;0.38;38%;0;0.03;0.09;0.12;0.03;55;48;0;0.27;1.51;8;5.1;0.62;1.15;8
24;Sota Kawasaki;Kyoto Sanga;20;236;3727;DM;0.07;0;0;0.07;0.06;0.63;31%;0.05;0.05;0.29;0.36;0.19;44;38;0.02;1.4;3.6;6;1.45;2.3;2.8;6
15;Tetsuya Chinen;Ryukyu;24;236;2597;CD;0;0;0;0;0.05;0.31;33%;0;0;0.14;0;0;59;53;0;0.45;1.7;7;3.3;0.83;1.35;7
4;Taishi Taguchi;JEF;30;235;2404;DM;0.07;0;0;0.07;0.08;1.46;41%;0.04;0.15;0.52;0.41;0.3;56;48;0.26;0.94;3.4;4;1.83;1.57;1.53;5.4
31;Yuto Y. Horigome;Albirex;27;235;3510;LD;0.03;0;0;0.03;0.01;0.38;27%;0.1;0.13;0.36;0.62;0.26;74;64;0.64;0.9;2.1;3.5;1.18;0.92;1.31;4.7
