Number;Player;Team;Age;InStat Index;Minutes played;Position;Goals;Penalty;"Penalties
 scored";Non-penalty Goals;xG (Expected goals);Shots;Shots on target, %;Assists;Expected assists;Сhances created;Key passes;Key passes accurate;Passes;Accurate passes;Crosses accurate;Dribbles successful;Attacking challenges won;Defensive challenges won;Air challenges won;Ball recoveries in opponent's half;Tackles successful;Ball interceptions
32;Seung-Beom Ko;Sangju;27;271;796;CM;0.34;0;0;0.34;0.23;2;50%;0.34;0.34;1.58;1.7;0.79;53;44;0.45;1.58;4.2;2.1;1.02;1.81;1.36;2.4
22;Seung-Hyun Jung;Sangju;27;258;2808;CD;0.16;0.13;0.13;0.03;0.14;0.45;57%;0;0;0.1;0.16;0.03;53;46;0.03;0.06;0.8;5.2;2.9;0.54;1.12;7
6;Sangmin Sim;Pohang Steelers;28;257;1613;LD;0;0;0;0;0.03;0.11;50%;0.22;0.33;0.61;0.89;0.56;56;45;1.51;1.45;2.8;3.8;0.78;1.34;1.9;4
45;Dong-Yoon Jung;Sangju;27;256;383;LM;0;0;0;0;0.02;0.7;33%;0.23;0.23;0.7;0.7;0.47;66;56;1.41;0.47;1.88;4.7;0.7;1.64;2.8;4.5
15;Jin-Sub Park;Daejeon;26;255;3002;DM;0.15;0.03;0.03;0.12;0.14;1.29;23%;0.06;0.06;0.42;0.27;0.18;48;40;0.06;0.39;3.3;7;4.9;1.32;1.83;7
8;Yong-Joon Heo;Sangju;28;253;1535;LM;0.41;0.12;0.12;0.29;0.39;3.3;46%;0.23;0.12;1.06;1.11;0.41;36;28;0.47;1.82;6;1.11;3.5;0.7;0.47;1.99
33;Tae-joon Park;Anyang;22;253;1770;DM;0;0;0;0;0.05;1.27;24%;0.31;0.15;0.56;0.46;0.15;53;46;0.15;1.78;4.2;3.3;1.22;0.97;2.3;5.5
43;Ji-Hwan Mun;Sangju;27;251;631;DM;0.14;0;0;0.14;0.01;0.14;100%;0;0;0.14;0;0;48;44;0;1;2.1;3.7;1.85;1.85;1.71;5
20;Kwang-Seon Lee;Gyeongnam;32;249;1601;CD;0;0;0;0;0.13;0.73;38%;0.11;0.06;0.28;0.28;0.11;50;42;0.06;0.17;2.3;8;6;0.67;1.29;5.4
7;Masatoshi Ishida;Daejeon;26;249;1291;CM;0.63;0.14;0.14;0.49;0.44;2.1;47%;0.07;0.21;0.56;0.63;0.28;27;22;0.07;1.39;3.8;1.88;1.05;0.35;1.25;2.8
11;Kim Kyung Jung;Anyang;30;248;1843;CM;0.34;0;0;0.34;0.13;1.56;50%;0.24;0.2;1.07;1.07;0.59;32;24;0.98;3.3;5.9;1.37;1.56;0.59;0.73;2.3
21;Jun Choi;Busan;22;248;2782;RD;0.06;0;0;0.06;0.05;0.71;32%;0.13;0.13;0.68;0.78;0.39;47;36;0.68;1.62;2.9;4.5;1.62;0.84;2.4;5.3
33;Gue-sung Cho;Sangju;23;247;1977;F;0.36;0;0;0.36;0.33;3.1;34%;0.14;0.32;1.05;0.91;0.64;29;23;0.41;1.87;8;1.55;3;0.36;0.73;2
32;Seong-Jin Choi;Jeonnam Dragons;19;246;94;CM;0;0;0;0;0.35;3.8;50%;0;0;0.96;0;0;16;13;0;0;7;4.8;7;0.96;0;1.91
3;Yong-Hwan Kim;Sangju;28;245;1704;RD;0.05;0;0;0.05;0.02;0.21;75%;0.05;0.11;0.42;0.58;0.42;56;47;1.21;1.06;2.1;3.5;1;0.85;1.69;4.6
37;In-Soo Yu;Sangju;27;244;1736;LM;0.05;0;0;0.05;0.03;0.62;25%;0;0.05;0.05;0.16;0.05;52;46;0.67;1.76;2.9;3.9;1.24;0.99;1.87;5.4
28;Chang-Rae Ha;Sangju;27;244;707;CD;0;0;0;0;0;0;0;0.13;0;0.25;0.25;0.25;54;46;0;0.25;2.4;9;5.3;1.78;2.7;7
27;Chang-Jun Park;Bucheon;25;244;2239;CM;0.52;0.08;0.04;0.48;0.41;1.81;58%;0.04;0.04;0.8;0.64;0.36;24;20;0.12;2.6;5;2.5;1;0.48;1.65;2.6
5;Young-Chan Kim;Gyeongnam;28;243;2581;CD;0;0;0;0;0.07;0.42;25%;0;0;0.24;0.24;0.17;48;42;0;0.1;1.57;7;4.8;0.56;1.29;7
30;Dong-Gyu Baek;Anyang;30;243;3359;CD;0.08;0;0;0.08;0.04;0.19;57%;0;0;0;0.05;0;39;32;0;0.21;1.13;6;3.5;0.86;1.29;6
2;Young-Jae Seo;Daejeon;26;243;3041;LD;0.03;0;0;0.03;0.02;0.33;36%;0.12;0.21;0.47;0.47;0.27;49;38;1.07;0.83;1.63;4.4;1.33;0.86;2.3;4.4
20;Sang-Min Lee;Seoul;24;243;2620;CD;0.03;0;0;0.03;0.03;0.27;38%;0.07;0.07;0.21;0.17;0.07;50;43;0.1;0.1;1.92;6;4.8;0.69;1.27;7
33;Woong-Hee Lee;Daejeon;33;242;2042;CD;0.04;0;0;0.04;0.06;0.48;45%;0.04;0.04;0.09;0.04;0.04;31;26;0;0.48;1.72;5.6;3.9;0.44;0.93;6
14;Sang-Min Lee;Ansan Greeners;26;242;3415;DM;0.11;0.03;0.03;0.08;0.09;0.87;48%;0.16;0.08;0.45;0.58;0.24;41;34;0.32;0.98;3.9;3.9;1.9;1.13;2;4.7
3;Min-Gyu Pak;Busan;26;242;2935;LD;0;0;0;0;0.02;0.46;7%;0.06;0.06;0.46;0.52;0.37;40;33;0.77;1.26;1.87;4.5;1.56;0.64;1.59;3.3
22;Dong Jin Kim;Gyeongnam;29;241;3201;LD;0.06;0;0;0.06;0.04;0.65;35%;0.03;0.08;0.39;0.53;0.31;57;46;0.96;1.38;2.5;5.8;2.4;0.65;1.69;4.2
42;Ji-Soo Park;Sangju;27;241;670;CD;0.13;0;0;0.13;0.03;0.27;100%;0;0;0.27;0;0;60;55;0.13;0.13;0.67;7;4.2;0.27;1.48;5.9
15;Hyung-Jin Kim;Anyang;28;240;3271;CD;0;0;0;0;0.02;0.14;0;0.03;0.03;0.08;0.11;0.08;35;28;0.03;0.25;1.32;7;5.2;0.91;0.85;7
33;Tae-Jun Park;Samsung;32;239;100;DM;0;0;0;0;0.07;1.8;0;0;0;1.8;0;0;45;37;0.9;5.4;10;5.4;2.7;0.9;3.6;8
13;Tae-Hyun Ahn;Bucheon;28;238;2128;RM;0.04;0;0;0.04;0.05;0.59;36%;0;0.08;0.34;0.59;0.34;45;37;0.8;1.56;3.6;3.7;1.48;1.18;1.73;4.6
33;Oleg Zoteev;Jeonnam Dragons;32;236;2006;LM;0.04;0;0;0.04;0.05;0.67;27%;0;0.04;0.4;0.45;0.31;40;30;1.08;1.39;2.9;4.2;1.53;0.67;2.2;5.6
92;In-Sung Kim;Seoul;32;236;1350;LM;0.4;0;0;0.4;0.3;2.1;38%;0.13;0.07;0.67;0.93;0.4;27;22;0.6;1.27;2.9;1.33;0.47;0.47;0.8;1.53
10;Dong-Jin Park;Sangju;27;236;1615;F;0.5;0;0;0.5;0.49;3.4;48%;0.11;0;0.72;0.72;0.39;15;11;0.11;1.17;4.6;0.39;1.45;0.56;0.17;1.06
8;Seong-Ung Maeng;Anyang;23;236;3020;DM;0.03;0;0;0.03;0.04;0.51;41%;0.03;0.03;0.27;0.39;0.06;47;39;0.18;0.8;3.1;4.5;2.3;1.37;2.1;6
6;Valentinos Sielis;Busan;31;235;2147;CD;0.04;0;0;0.04;0.09;0.59;29%;0;0;0.17;0.17;0.04;49;41;0.08;0.46;1.22;5.2;3.2;0.5;0.96;6
6;Nilson;Anyang;32;235;2822;CD;0.13;0.1;0.1;0.03;0.16;0.64;40%;0.06;0.03;0.35;0.41;0.19;38;31;0.1;0.7;1.88;6;1.91;0.83;2.9;9
17;Hyeon-Sik Lee;Daejeon;25;235;2259;CM;0.2;0;0;0.2;0.12;1.16;38%;0.24;0.08;0.56;0.88;0.4;35;27;0.2;1.67;4.3;3;1.63;1.08;1.47;2.9
5;Gang-San Kim;Bucheon;23;235;1751;CD;0;0;0;0;0.01;0.1;0;0;0;0.15;0.21;0.15;45;38;0.15;0.41;1.34;6;3.4;0.62;1.95;5.4
3;Chan-Yong Park;Jeonnam Dragons;25;234;2997;CD;0;0;0;0;0.06;0.69;30%;0.06;0;0.27;0.24;0.09;40;33;0.06;0.33;1.77;4.7;2.6;0.78;1.32;6
88;Sun-Min Kim;Seoul;30;233;3237;DM;0;0;0;0;0.02;0.42;13%;0;0;0.08;0.33;0.11;46;40;0.03;0.42;2.1;4.6;1;1.17;2.4;5.9
70;Leandro;Seoul;26;233;2742;CM;0.1;0.03;0;0.1;0.2;1.25;39%;0.23;0.16;0.79;1.35;0.49;33;24;0.26;2.9;5;0.98;1.12;0.49;0.66;1.67
47;Chan-Hee Han;Sangju;24;233;102;CM;0.88;0;0;0.88;0.47;2.6;67%;0;0;0;0;0;50;44;0;0;0;1.76;0;0.88;1.76;1.76
20;Min-Ho Kim;Ansan Greeners;24;233;2141;CD;0.04;0;0;0.04;0.08;0.29;86%;0.04;0;0.13;0;0;36;29;0;0.21;1.39;5.9;4.1;0.92;0.88;5.8
55;Ho-Jung Choi;Jeonnam Dragons;32;232;1640;CD;0.05;0;0;0.05;0.04;0.22;25%;0;0;0.16;0.11;0.11;40;35;0.05;0.05;0.71;2.9;0.82;0.11;0.93;5.7
4;Yong-Su Han;Asan;31;232;3304;CD;0.08;0;0;0.08;0.08;0.49;56%;0;0.03;0.16;0.05;0;32;27;0.03;0.25;1.39;5.7;3.5;0.57;0.95;6
23;Jin-Gyu Kim;Busan;24;232;2414;DM;0.15;0;0;0.15;0.09;1.3;34%;0.07;0.19;0.71;0.89;0.52;42;35;0.3;1.34;2.7;2.2;0.37;0.89;1.49;3.4
10;Sang-Heon Lee;Busan;23;232;2084;CM;0.13;0;0;0.13;0.16;2.3;39%;0.13;0.26;1.17;1.3;0.69;37;29;0.69;1.81;3.1;1.6;0.09;0.56;0.91;1.55
47;Eun-Beom Lee;Asan;25;232;2407;LD;0.04;0;0;0.04;0.05;0.45;25%;0;0;0.11;0.15;0.04;40;31;0.26;1.01;2.7;4.8;2.7;0.79;1.27;4.2
4;Ji-sol Lee;Daejeon;22;232;2169;CD;0;0;0;0;0.01;0.29;14%;0;0.04;0.12;0.12;0.04;37;32;0;0.33;1.16;8;4.9;0.71;1.74;7
