Player;Position;Minutes played;Assists per 90;xA per 90;Key passes per 90;Passes per 90;Accurate passes, %;Progressive passes per 90;Accurate progressive passes, %;Accurate passes to final third, %;Dribbles per 90;Successful dribbles, %;Offensive duels won, %;Defensive duels won, %;PAdj Sliding tackles;PAdj Interceptions
T. Parrott;AMF;1274;0.14;0.16;0.71;34.54;81.39;3.04;83.72;70.45;4.73;43.28;32.18;58.82;0.26;2.64
B. Celina;AMF;839;0.32;0.27;0.86;42.05;77.3;4.29;80;64.44;4.61;39.53;32.39;43.14;0;2.63
E. Robson;LCMF;1379;0.07;0.05;0.2;52.02;88.08;6.92;67.92;79.2;1.57;54.17;47.83;64.38;1.15;4.5
A. Pritchard;AMF;1172;0.46;0.28;0.69;37.09;78.67;5.53;75;61.82;4.68;42.62;34.38;66.67;0.82;2.59
H. Arter;RDMF;317;0;0.07;0.28;42.02;87.16;4.54;93.75;54.17;0.57;50;40;68.97;4.11;5.34
M. Bonne;CF;2057;0.04;0.02;0.13;11.68;59.55;1.31;63.33;41.38;1.27;34.48;18.85;48.33;0.14;2.15
D. Mayor;LCMF;735;0;0.15;0.37;35.02;81.12;5.76;74.47;75;6.24;70.59;50;64.52;0.19;4.37
M. Romeo;RWB;1707;0;0.03;0.16;32.69;77.42;7.33;80.58;69.14;3.32;55.56;48.41;57.32;0.73;7.66
L. Dajaku;RAMF;875;0.31;0.19;0.93;30.03;73.63;5.66;76.36;37.04;8.02;51.28;40.8;62.16;0;4.48
R. Broom;LCMF;1758;0.2;0.14;0.46;33.02;81.86;5.27;80.58;68.18;4.56;44.94;37.79;57.02;0.38;3.63
B. Bannan;DMF;2224;0.12;0.17;0.36;46.13;82.81;10.12;77.6;63.48;2.63;60;45.71;70.93;1.35;4.06
C. Paterson;CF;1551;0.12;0.12;0.46;19.85;61.99;3.89;76.12;46.58;1.51;46.15;34.48;51.56;0.44;4.69
L. O'Neil;LCMF;962;0;0.01;0;25.63;82.12;2.81;70;70.83;0.28;66.67;48;54.9;0.24;6.4
D. Iorfa;RCB;1377;0;0;0;36.54;83.54;6.27;62.5;62.69;0.2;33.33;44;80;0.6;7.77
D. N'Lundulu;CF;767;0;0;0;14.78;82.54;0.7;50;60;3.4;44.83;26.27;21.43;0;2.57
