Number;Player;Team;Age;InStat Index;Minutes played;Position;Goals;Penalty;"Penalties
 scored";Non-penalty Goals;xG (Expected goals);Shots;Shots on target, %;Assists;Expected assists;Сhances created;Key passes;Key passes accurate;Passes;Accurate passes;Crosses accurate;Dribbles successful;Attacking challenges won;Defensive challenges won;Air challenges won;Ball recoveries in opponent's half;Tackles successful;Ball interceptions
13;M. Ngamaleu;Young Boys;27;282;1288;LM;0.21;0.21;0.14;0.07;0.47;3;37%;0.42;0.35;1.47;1.47;0.56;41;32;1.19;5;8;2.4;1.89;1.19;1.12;3.2
31;Mirlind Kryeziu;Zurich;24;271;1622;CD;0.17;0;0;0.17;0.09;0.89;50%;0.06;0.06;0.22;0.22;0.11;47;41;0;0.33;1.72;6;3.5;0.61;1.11;9
21;Ulisses Garcia;Young Boys;25;271;865;LD;0.1;0;0;0.1;0.1;1.56;60%;0.1;0.21;0.83;0.62;0.52;59;48;2.4;1.87;3.3;3.8;0.52;1.46;1.77;3.6
17;Kastriot Imeri;Servette;21;270;1056;LM;0.68;0.09;0.09;0.59;0.36;3.5;44%;0;0.43;1.96;1.79;1.11;41;31;1.02;3.4;5.9;1.28;1.02;0.77;0.77;3
28;Raoul Petretta;Basel;24;269;936;LD;0.1;0;0;0.1;0.03;0.19;50%;0.1;0.19;1.15;1.06;0.77;58;50;0.96;1.15;2.7;6;1.54;1.73;2.2;4.7
10;Arthur;Basel;23;263;1572;F;0.8;0.17;0.11;0.69;0.86;4;48%;0.23;0.17;0.97;0.97;0.63;19;14;0.06;1.09;7;0.74;3.8;0.29;0.52;2.4
10;Antonio Marchesano;Zurich;30;261;1382;CM;0.52;0.2;0.2;0.32;0.47;2.6;40%;0.26;0.33;1.56;1.89;1.11;42;33;0.46;0.98;2.3;2.3;0.46;0.91;1.76;3
17;Liam Alan Millar;Basel;22;259;1051;LM;0.34;0;0;0.34;0.2;2.1;48%;0.09;0.43;1.28;1.54;0.86;42;33;0.77;4.9;6;2.5;0.34;0.77;1.88;2.1
20;Michel Aebischer;Young Boys;24;259;1122;DM;0.16;0;0;0.16;0.16;2.2;32%;0.24;0.48;1.36;1.28;0.88;56;46;0.56;1.84;3.3;3;0.88;1.6;1.44;3.4
19;Nikola Boranijasevic;Zurich;29;258;1354;RM;0.13;0;0;0.13;0.15;1;40%;0.13;0.2;0.66;1.33;0.53;46;34;0.66;2.3;3.6;5.1;0.73;0.8;2.9;5.5
9;Miroslav Stevanovic;Servette;31;258;1607;RM;0.22;0.06;0.06;0.16;0.27;1.9;35%;0.73;0.45;1.68;2.9;1.46;42;30;0.67;1.06;4.4;2.2;2.4;1.06;1.23;3
4;Mohamed Aly Camara;Young Boys;24;257;1007;CD;0.09;0;0;0.09;0.05;0.36;25%;0;0;0.18;0.09;0.09;56;48;0;0.89;1.79;5.5;1.88;0.89;1.79;7
22;Sergio Lopez Galache;Basel;22;257;1223;RD;0.15;0;0;0.15;0.06;0.29;75%;0.07;0.15;0.52;0.66;0.44;54;47;1.25;2.1;2.4;3.4;0.66;0.88;1.55;5.1
3;Adrián Guerrero;Zurich;23;257;1597;LM;0.17;0;0;0.17;0.18;1.35;25%;0.34;0.39;0.79;1.07;0.45;46;36;1.35;1.07;2.4;2.6;0.73;0.9;1.35;3.4
28;Fabian Lustenberger;Young Boys;33;255;406;CD;0;0;0;0;0.03;0.22;100%;0;0;0.22;0.22;0.22;71;66;0;0;2.4;7;2.4;1.33;2.2;8
35;C. Martins Pereira;Young Boys;24;254;1004;DM;0;0;0;0;0.06;0.72;38%;0.09;0;0.54;0.45;0.45;44;39;0;0.9;3.4;7;3.4;2.5;2.4;4.3
33;Georg Margreitter;Grasshopper;33;253;1219;CD;0.22;0;0;0.22;0.08;0.44;83%;0;0;0.07;0;0;48;42;0;0.3;1.18;5.9;3.5;0.52;0.81;8
9;Sebastiano Esposito;Basel;19;253;567;F;0.63;0.16;0.16;0.47;0.49;3.3;43%;0.32;0.48;1.43;1.59;1.43;30;22;1.11;1.9;5.2;2.7;0.79;0.63;1.9;2.1
7;Pajtim Kasami;Basel;29;252;1401;DM;0.19;0.06;0;0.19;0.43;2.7;45%;0.19;0.13;1.22;1.22;0.58;44;35;0.19;1.48;4.8;4.2;2.7;1.67;1.99;4.2
20;Fabian Frei;Basel;32;252;1530;DM;0.06;0;0;0.06;0.05;0.71;33%;0;0;0.53;0.94;0.35;56;49;0.06;0.29;1;4.8;1.47;1.12;2.1;6
14;J. Sabbatini;Lugano;33;252;1680;DM;0.05;0;0;0.05;0.06;0.91;24%;0.11;0.11;0.48;0.59;0.27;45;37;0.16;0.75;3.5;5.9;2;1.34;3.2;6
24;Sandi Lovric;Lugano;23;252;1413;CM;0.13;0;0;0.13;0.12;2.2;32%;0.13;0;0.57;1.15;0.45;50;43;0.25;1.78;3.9;3.6;0.83;1.08;2;3.8
36;Silvan Hefti;Young Boys;24;252;1190;RD;0.08;0;0;0.08;0.04;0.83;45%;0.15;0.23;1.06;1.21;0.76;55;46;1.51;1.59;3;4.9;1.06;1.74;2.8;5.4
3;Gaеl Dimitri Clichy;Servette;36;251;1590;LD;0.06;0;0;0.06;0.02;0.57;20%;0.11;0.06;0.51;0.79;0.34;72;57;1.25;1.08;1.7;4.3;1.36;0.96;1.75;6
28;Christian Herc;Grasshopper;23;251;1514;DM;0.12;0;0;0.12;0.17;1.78;40%;0.24;0.24;0.71;0.95;0.42;41;33;0.3;0.77;3.6;5.2;2.1;1.84;3;5.3
77;B. Bolla;Grasshopper;22;251;1063;RD;0.17;0;0;0.17;0.05;0.93;27%;0.17;0.17;0.85;1.52;0.76;44;37;1.02;2.6;3.6;3;0.25;1.1;1.35;4
30;Tomas Franco Tavares;Basel;20;251;723;RD;0.12;0;0;0.12;0.02;0.37;67%;0;0;0.12;0.37;0.12;68;62;0.37;1;1.87;4.1;1.49;1.12;1.62;5.6
20;Ousmane Doumbia;Zurich;29;250;1617;DM;0;0;0;0;0.04;0.83;7%;0.11;0.11;0.45;0.61;0.28;33;27;0;1.5;3.4;5.6;1.39;2.3;3.3;6
9;Assan Torrez Ceesay;Zurich;27;250;1404;F;0.71;0.06;0.06;0.65;0.43;2.4;54%;0.32;0.26;1.09;1.6;0.83;21;14;0.26;1.41;7;1.28;3.1;0.45;0.58;2.1
6;Fidan Aliti;Zurich;28;249;1579;CD;0;0;0;0;0.06;0.4;29%;0.06;0.06;0.06;0.17;0.06;39;33;0;0.06;1.14;6;2.8;0.74;1.42;5.4
24;Toti Antonio Gomes;Grasshopper;22;249;1465;CD;0.06;0;0;0.06;0.07;0.49;38%;0;0;0.12;0.18;0.06;52;44;0.25;1.17;2.6;5.8;2.8;0.55;1.29;8
3;Reto Ziegler;Lugano;35;248;1589;CD;0.23;0.11;0.11;0.12;0.13;0.68;58%;0;0.06;0.28;0.23;0.23;56;48;0.57;0.23;0.91;4.6;2.2;0.91;1.19;5.2
14;Nicolas Sandro Burgy;Young Boys;26;248;356;CD;0;0;0;0;0.05;0.25;100%;0;0;0;0;0;65;61;0;0.51;1.52;4.3;1.52;1.26;1.26;6
3;Ermir Lenjani;Grasshopper;32;247;1024;LD;0;0;0;0;0.11;0.97;27%;0.44;0.35;1.49;1.67;1.05;42;31;1.85;1.67;2.9;2.2;1.23;0.7;1.14;4
30;Sandro Mike Lauper;Young Boys;25;247;1467;CD;0;0;0;0;0.06;0.74;33%;0;0.06;0.18;0.25;0.12;66;61;0.18;0.92;1.9;6;1.9;1.47;1.78;7
21;Blerim Dzemaili;Zurich;35;246;747;DM;0.12;0;0;0.12;0.11;1.81;20%;0.12;0.36;0.96;0.96;0.6;44;36;0.36;1.93;4.1;4.3;1.33;1.33;2.7;6
19;Filip Ugrinic;Luzern;23;246;1546;LM;0.23;0;0;0.23;0.18;2.3;36%;0.17;0.06;0.82;0.87;0.64;44;34;0.58;2.7;5.3;3.3;0.58;0.93;1.57;2.4
21;Andy Joseph Pelmard;Basel;21;246;1696;CD;0;0;0;0;0;0;0;0;0;0.05;0.11;0;51;47;0.05;0.85;1.27;3.9;1.01;0.69;1.38;6
99;Edon Lulzim Zhegrova;Basel;22;246;503;RM;0.36;0;0;0.36;0.16;2.5;57%;0.89;0.89;3.4;3.4;2.9;34;25;1.79;4.1;5.7;3.2;0.54;0.89;1.61;1.97
4;Leo Lacroix;Western United;29;245;188;CD;0;0;0;0;0;0;0;0;0;0;1.44;0.48;46;40;0;0.48;0.48;4.8;1.91;1.91;0.48;9
