Number;Player;Team;Age;InStat Index;Minutes played;Position;Goals;Penalty;"Penalties
 scored";Non-penalty Goals;xG (Expected goals);Shots;Shots on target, %;Assists;Expected assists;Сhances created;Key passes;Key passes accurate;Passes;Accurate passes;Crosses accurate;Dribbles successful;Attacking challenges won;Defensive challenges won;Air challenges won;Ball recoveries in opponent's half;Tackles successful;Ball interceptions
37;Heberty;Bangkok;33;261;1358;RM;0.66;0.2;0;0.66;0.29;2.7;53%;0.2;0;1.52;1.99;0.86;30;24;0;2.8;4.9;1.13;0.46;0.53;0.73;1.46
15;Junior Eldstal;Chonburi;30;259;103;CD;0;0;0;0;0;0;0;0;0;0;0;0;36;31;0;0.87;0.87;12;8;0.87;0.87;2.6
10;Vander;Bangkok;31;257;1232;LM;0.37;0.07;0.07;0.3;0.24;2.1;52%;0.29;0.29;1.75;1.31;0.44;26;19;0.58;5;8;1.1;0.29;0.22;0.73;0.66
22;Rebin Sulaka Adhamat;Buriram;29;256;1166;CD;0;0;0;0;0.1;0.39;20%;0;0;0.15;0.15;0;38;34;0;0.39;1.23;5.6;2.2;0.31;2.4;5.6
3;Everton;Bangkok;31;256;1476;CD;0.06;0;0;0.06;0.1;0.73;42%;0;0.06;0.06;0.06;0.06;39;34;0;0.06;1.04;5.7;3.5;0.67;1.16;6
5;P. Chamratsamee;Buriram;29;256;809;DM;0.11;0;0;0.11;0.05;1;33%;0;0.11;0.56;0.44;0.22;40;36;0.11;0.78;1.89;3.9;0.78;1.11;2.3;3
19;Willian Popp;Muangthong (SCG) United;27;255;1437;LM;0.63;0.19;0.06;0.57;0.67;3.6;45%;0.19;0.38;0.81;1.25;0.63;39;32;0.44;2.6;5.6;1.63;2.3;0.63;0.81;1.82
19;Supachok Sarachat;Buriram;23;253;983;CM;0.18;0;0;0.18;0.16;2.1;30%;0.27;0.27;1.83;2.1;1.01;38;32;0.09;3.6;5.7;1.74;1.1;1.19;1.01;1.37
5;Kritsada Kaman;Chonburi;22;253;1577;DM;0.06;0;0;0.06;0.05;0.97;35%;0.17;0.23;0.63;0.91;0.51;48;42;0.51;0.97;1.43;2.9;0.86;0.97;1.37;3.2
10;Lidor Cohen;Nongbua;29;252;84;LM;0;0;0;0;0.13;2.1;50%;1.07;1.07;3.2;2.1;2.1;18;15;1.07;4.3;9;2.1;0;0;2.1;0
26;Digao;Buriram;33;250;482;CD;0;0;0;0;0.14;0.93;40%;0;0;0;0.37;0;47;43;0;0.75;2.4;4.7;3.4;0.19;1.87;4.7
30;Andres Jose Tunez;BG Pathum;34;250;880;CD;0.2;0;0;0.2;0.15;0.92;22%;0;0;0;0;0;48;43;0.1;0.2;1.02;4.6;3;1.23;0.92;6
22;Rochela;Port;31;249;1528;CD;0.12;0.06;0;0.12;0.19;0.65;45%;0;0;0.12;0.06;0;38;34;0;0.06;0.77;5.9;3.5;0.35;1.06;7
17;I. Ahmad;BG Pathum;24;248;1156;CD;0;0;0;0;0.07;0.47;50%;0.08;0.16;0.39;0.39;0.31;36;32;0.08;0.78;2.6;7;3.6;0.7;1.56;5.5
4;Airton;Nongbua;31;246;1462;CD;0.12;0;0;0.12;0.07;0.68;55%;0;0.06;0.18;0.12;0.06;27;23;0.06;0.92;2.3;4.9;3.4;0.37;0.98;4.6
4;Manuel Bihr;Bangkok;28;244;1090;CD;0;0;0;0;0.05;0.17;50%;0;0;0;0.08;0;34;32;0;0.08;0.5;3.7;1.82;0.08;1.07;4.1
5;Sergio Suarez;Port;34;243;1308;CM;0.41;0;0;0.41;0.2;1.86;48%;0.07;0.07;0.76;0.55;0.48;39;32;0.34;2.5;6;1.93;2.5;0.76;1.31;1.58
98;Renato Kelic;Chonburi;30;242;1378;CD;0.13;0;0;0.13;0.06;0.65;60%;0;0;0.13;0;0;42;37;0;0.2;1.04;4.8;3.5;0.39;0.39;7
27;Aris Zarifovic;Samut Prakan City;33;242;1352;CD;0.13;0;0;0.13;0.09;0.6;44%;0;0;0.07;0.07;0;44;40;0;0.2;1.13;4.9;2.6;0.6;1.13;5.9
91;Samuel Rosa;Buriram;30;242;1343;F;0.4;0.07;0.07;0.33;0.4;1.68;60%;0.27;0.2;0.94;1.07;0.4;17;13;0.2;3;7;1.41;2.5;0.67;0.54;1.01
16;Jakkaphan Praisuwan;BG Pathum;27;242;832;CD;0.11;0;0;0.11;0.03;0.65;67%;0;0.32;0.87;0.43;0.43;41;36;0.43;0.22;0.76;3;1.3;0.43;0.97;4.2
9;Supachai Chaided;Buriram;23;242;1184;F;0.61;0;0;0.61;0.3;2.4;50%;0.3;0.15;0.84;1.14;0.53;21;16;0;1.82;5.2;1.37;2.7;0.3;0.68;2.3
