Number;Player;Team;Age;InStat Index;Matches played;Position;Goals;Penalty;"Penalties
 scored";Non-penalty Goals;xG (Expected goals);Shots;Shots on target, %;Assists;Expected assists;Сhances created;Key passes;Key passes accurate;Passes;Accurate passes;Crosses accurate;Dribbles successful;Attacking challenges won;Defensive challenges won;Air challenges won;Ball recoveries in opponent's half;Tackles successful;Ball interceptions
10;Cong Phuong Nguyen;Hoang Anh Gia;26;257;12;CM;0.54;0.27;0.27;0.27;0.4;3;26%;0;0.25;0.89;1.16;0.45;41;35;0.09;3.8;6;2.9;0.72;0.81;2.2;1.43
28;Hoang Duc Nguyen;Viettel;23;241;12;DM;0.09;0;0;0.09;0.05;1.35;27%;0.18;0.46;0.81;1.17;0.72;40;32;0.54;2.3;4;3.3;1.44;1.53;1.62;4.8
3;Dong-Su Kim;Hoang Anh Gia;26;240;11;CD;0;0;0;0;0.04;0.34;25%;0;0.03;0.09;0.26;0.09;45;39;0;0.09;0.6;7;4.5;0.85;1.37;7
45;Le Van Xuan;Ha Noi;22;237;9;LD;0.11;0;0;0.11;0.05;0.76;43%;0.11;0.15;0.33;0.55;0.22;56;48;0.76;0.98;1.53;5;1.85;1.2;2.1;4.8
17;Van Thanh Vu;Hoang Anh Gia;25;236;12;RD;0.16;0;0;0.16;0.09;0.97;25%;0.08;0.14;0.4;0.48;0.24;47;40;0.65;1.05;2.9;3.3;1.7;0.57;0.81;3.6
95;Gustavo;Than Quang Ninh;26;236;7;CD;0;0;0;0;0;0;0;0;0.03;0;0;0;50;41;0;0.8;2.5;11;7;0.67;2.3;7
10;Van Quyet Nguyen;Ha Noi;30;234;10;LM;0.11;0;0;0.11;0.24;1.79;35%;0.21;0.68;1.48;1.79;1.26;48;38;1.26;1.37;4.1;2;0.95;0.95;1.58;1.69
11;Rodrigo Dias;Nam Dinh;27;234;12;F;0.54;0.08;0.08;0.46;0.32;2.7;43%;0.23;0.28;0.7;0.54;0.39;30;18;0;1.24;15;1.16;14;0.46;0.15;2.9
22;Nguyen Cong Nhut;Da Nang;0;234;3;LD;0;0;0;0;0.05;0.34;0;0.34;0.2;0.67;0.67;0.67;50;46;0.67;1.01;1.68;4.7;3;1.01;1.34;5
24;Lee Nguyen;Ho Chi Minh;35;233;9;CM;0.56;0.22;0.22;0.34;0.31;1.22;73%;0.11;0.2;0.89;1.33;0.78;47;37;0.22;2.7;4;1.22;0.22;0.44;0.78;1.67
8;Trong Hoang Nguyen;Viettel;32;233;11;RM;0.33;0;0;0.33;0.18;1.41;38%;0;0.27;0.54;0.98;0.33;31;24;0.33;1.85;5.1;3.2;1.09;0.76;1.85;1.85
6;Xuan Truong Luong;Hoang Anh Gia;26;233;11;DM;0.1;0;0;0.1;0.03;0.97;30%;0;0.08;0.29;0.87;0.19;59;50;0.1;1.26;3.2;3.7;0.58;0.97;2;3.1
94;Geovani;Ha Noi;27;233;11;CM;0.57;0;0;0.57;0.37;2.8;41%;0.1;0.26;0.95;0.76;0.48;28;21;0.57;2.1;5.4;1.71;2.7;0.48;0.48;2.5
18;Bruno Oliveira;Viettel;31;232;5;F;0.45;0;0;0.45;0.72;7;40%;0;0.14;1.35;0.45;0.45;28;22;0.45;5;9;0.9;0.9;0.45;0;1.35
28;Duy Manh Do;Ha Noi;25;230;10;CD;0.11;0;0;0.11;0.03;0.32;33%;0.11;0.08;0.21;0.42;0.11;51;45;0.11;0.21;1.16;5.5;3;0.53;1.27;5.8
7;Hong Duy Nguyen Phong;Hoang Anh Gia;25;229;11;LD;0;0;0;0;0.03;0.63;43%;0.09;0.07;0.45;0.27;0.18;39;31;0.36;1.96;3;4.5;1.25;0.36;2.1;4.2
8;Minh Vuong Tran;Hoang Anh Gia;26;228;11;CM;0.39;0.1;0.1;0.29;0.18;1.36;50%;0.1;0.12;0.68;0.58;0.39;36;31;0.19;2.1;4.6;2.3;0.87;0.68;1.55;1.84
27;Quang Vinh Lieu;Da Nang;22;228;4;CD;0;0;0;0;0;0;0;0.41;0.1;0.41;0.81;0.41;30;25;0.41;0.81;2.8;5.3;2.4;0.41;0.81;7
95;Sant Ana Santos Gustavo;Than Quang Ninh;26;228;4;CD;0;0;0;0;0.17;0.7;67%;0;0.09;0.23;0.23;0;43;35;0.23;0.23;2.3;7;5.1;0.23;1.87;7
19;Quang Hai Nguyen;Ha Noi;24;227;9;CM;0.12;0;0;0.12;0.17;2.1;35%;0.12;0.38;0.85;1.46;0.61;44;35;0.61;2.2;3.9;2.3;0.36;0.36;1.21;1.94
7;Caique;Viettel;28;226;11;F;0.3;0;0;0.3;0.24;1.82;61%;0.2;0.21;1.42;1.21;0.81;22;17;0.2;2.3;9;1.11;3.3;0.71;0.91;1.82
4;Damir Memovic;Hoang Anh Gia;32;225;11;CD;0;0;0;0;0.08;0.54;33%;0;0;0.18;0.18;0.09;37;30;0;0.09;0.72;7;3;0.99;2.5;5.4
4;Tien Dung Bui;Viettel;26;225;11;CD;0.1;0;0;0.1;0.06;0.58;50%;0;0.03;0.29;0.19;0;32;27;0;0;1.25;4.9;3.9;0.77;0.77;5.3
15;Nguyen Huu Tuan;Hoang Anh Gia;29;225;12;CD;0;0;0;0;0;0;0;0;0;0;0;0;41;34;0;0.55;1.41;7;1.41;0.55;2.6;5
30;Washington;Hoang Anh Gia;31;223;12;F;0.24;0;0;0.24;0.15;1.1;43%;0.39;0.23;0.86;0.94;0.71;22;17;0.39;1.8;7;0.94;2.5;0.47;0.55;1.41
93;Jan;Da Nang;28;223;12;CD;0;0;0;0;0.08;0.55;57%;0;0;0.16;0.08;0;33;26;0.08;0.63;2.2;9;5.6;0.31;2.2;7
28;Nguyen Van Vi;Hong Linh;23;223;10;LD;0;0;0;0;0.05;0.26;0;0;0.08;0.66;1.18;0.52;51;43;0.52;1.57;2.6;3.4;0.26;0.66;1.83;4.1
11;Jahongir Abdumuminov;Viettel;28;222;9;DM;0;0;0;0;0.13;0.97;22%;0;0.07;0.11;0.32;0.11;44;36;0.22;0.43;2.3;5.5;1.3;1.51;3;5
5;Thiago Melo;Sai Gon;29;222;8;CD;0;0;0;0;0.08;0.6;20%;0;0.03;0.48;0.36;0.24;35;28;0;0.24;1.91;8;4.8;0.95;1.67;7
10;Pedro Paulo;Viettel;27;222;7;F;0.31;0;0;0.31;0.29;2.3;27%;0.15;0.26;1.08;1.08;0.77;25;19;0.31;1.38;7;0.46;2;0.46;0.31;0.77
21;Dinh Trong Tran;Ha Noi;24;222;5;CD;0;0;0;0;0;0;0;0;0.11;0;0;0;50;43;0.3;0.3;1.21;4.5;2.1;0.6;1.21;8
