Name,Club,Position,Transfer age,Transfer year,Transfer price
Vitor Roque,Barcelona,Striker,18,2024,40000000
Oriol Romeu,Barcelona,Defensive midfielder,31,2023,3400000
Raphinha,Barcelona,Winger,25,2022,58000000
Jules Kounde,Barcelona,Full back,23,2022,50000000
Robert Lewandowski,Barcelona,Striker,33,2022,45000000
Pablo Torre,Barcelona,Attacking midfielder,19,2022,5000000
Ferran Torres,Barcelona,Winger,21,2022,55000000
Emerson Royal,Barcelona,Full back,22,2021,14000000
Miralem Pjanic,Barcelona,Central midfielder,30,2020,60000000
Trincao,Barcelona,Winger,20,2020,30940000
Sergino Dest,Barcelona,Full back,19,2020,21000000
Antoine Griezmann,Barcelona,Striker,28,2019,120000000
Frenkie de Jong,Barcelona,Central midfielder,22,2019,86000000
Neto,Barcelona,Goalkeeper,29,2019,26000000
Pedri,Barcelona,Central midfielder,16,2019,23000000
Junior Firpo,Barcelona,Full back,22,2019,20000000
Martin Braithwaite,Barcelona,Striker,28,2020,18000000
Matheus Fernandes,Barcelona,Attacking midfielder,21,2020,7000000
Marc Cucurella,Barcelona,Full back,20,2019,4000000
Malcom,Barcelona,Winger,21,2018,41000000
Clement Lenglet,Barcelona,Centre back,23,2018,35900000
Arthur Melo,Barcelona,Central midfielder,21,2018,31000000
Arturo Vidal,Barcelona,Defensive midfielder,31,2018,18000000
Emerson Royal,Barcelona,Full back,20,2019,12000000
Jean-Clair Todibo,Barcelona,Centre back,19,2019,1000000
Philippe Coutinho,Barcelona,Winger,25,2018,135000000
Ousmane Dembele,Barcelona,Winger,20,2017,135000000
Paulinho,Barcelona,Central midfielder,29,2017,40000000
Nelson Semedo,Barcelona,Full back,23,2017,35700000
Yerry Mina,Barcelona,Centre back,23,2018,12400000
Gerard Deulofeu,Barcelona,Winger,23,2017,12000000
Marlon,Barcelona,Centre back,21,2017,5000000
Andre Gomes,Barcelona,Central midfielder,22,2016,37000000
Paco Alcacer,Barcelona,Striker,23,2016,30000000
Samuel Umtiti,Barcelona,Centre back,22,2016,25000000
Lucas Digne,Barcelona,Full back,22,2016,16500000
Jasper Cillessen,Barcelona,Goalkeeper,27,2016,13000000
Denis Suarez,Barcelona,Attacking midfielder,22,2016,3250000
Arda Turan,Barcelona,Central midfielder,28,2015,34000000
Aleix Vidal,Barcelona,Full back,25,2015,17000000
Luis Suarez,Barcelona,Striker,27,2014,81720000
Jeremy Mathieu,Barcelona,Centre back,30,2014,20000000
Thomas Vermaelen,Barcelona,Centre back,28,2014,19000000
Ivan Rakitic,Barcelona,Central midfielder,26,2014,18000000
Marc-Andre ter Stegen,Barcelona,Goalkeeper,22,2014,12000000
Claudio Bravo,Barcelona,Goalkeeper,31,2014,12000000
Douglas Santos,Barcelona,Full back,24,2014,4000000
Endrick,Real Madrid,Striker,18,2024,47500000
Jude Bellingham,Real Madrid,Attacking midfielder,20,2023,103000000
Arda Guler,Real Madrid,Attacking midfielder,18,2023,20000000
Fran Garcia,Real Madrid,Full back,23,2023,5000000
Aurelien Tchouameni,Real Madrid,Defensive midfielder,22,2022,80000000
Eduardo Camavinga,Real Madrid,Defensive midfielder,18,2021,31000000
Eden Hazard,Real Madrid,Winger,28,2019,120800000
Luka Jovic,Real Madrid,Striker,21,2019,63000000
Eder Militao,Real Madrid,Centre back,21,2019,50000000
Ferland Mendy,Real Madrid,Full back,24,2019,48000000
Rodrygo,Real Madrid,Winger,18,2019,45000000
Reinier,Real Madrid,Attacking midfielder,18,2020,30000000
Alberto Soro,Real Madrid,Winger,20,2019,2500000
Vinicius Junior,Real Madrid,Winger,18,2018,45000000
Thibaut Courtois,Real Madrid,Goalkeeper,26,2018,35000000
Alvaro Odriozola,Real Madrid,Full back,22,2018,32000000
Mariano Diaz,Real Madrid,Striker,25,2018,21500000
Brahim Diaz,Real Madrid,Attacking midfielder,19,2019,17000000
Andriy Lunin,Real Madrid,Goalkeeper,19,2018,8500000
Theo Hernandez,Real Madrid,Full back,19,2017,24000000
